Haplotype	Cluster	Contig_len
HG00438.pat	1	2444327
HG02300.mat	1	4323166
NA20355.mat	1	1686442
HG00171.pat	1	3893579
HG01099.mat	1	3994157
NA20509.mat	1	2869326
HG03710.mat	1	3703005
HG02018.mat	1	3949388
HG04217.mat	1	4586024
NA19384.mat	2	3553750
HG03371.mat	2	2418942
HG03520.mat	2	2810905
HG02647.pat	2	3506135
NA19347.pat	2	3969765
HG03453.pat	3	3228517
NA19705.pat	3	3248321
NA19983.mat	3	3077932
HG02769.pat	3	2578604
NA19836.mat	3	2672022
HG02622.pat	3	3154454
HG02809.mat	3	2922712
HG03248.pat	3	2430026
HG02559.mat	3	1767402
HG02769.mat	3	1407971
HG02886.pat	3	2266073
HG02953.mat	3	2224210
NA19347.mat	3	1880819
HG02282.mat	3	3444979
HG02953.pat	3	3539424
NA19238.mat	3	2922557
HG02055.pat	3	2712658
HG03520.pat	3	2290253
HG03732.pat	4	3715695
HG02492.pat	4	3397596
HG03492.pat	4	1759440
HG02071.pat	4	3115377
HG01596.mat	4	3674274
NA18534.mat	4	3820284
HG01457.pat	4	3575789
HG00513.mat	4	4509287
HG00864.mat	4	4055361
HG01573.mat	5	3711067
HG02300.pat	5	3417929
HG00438.mat	5	3165450
HG02293.mat	5	2809268
HG02809.pat	5	2949891
HG02572.mat	5	2744292
NA19317.pat	5	3129503
HG002.mat	5	2366174
HG02011.mat	5	2817627
HG04228.pat	5	3026663
HG04228.mat	5	2381545
NA20847.mat	5	2393266
HG03065.pat	6	1866386
HG01890.pat	6	2557397
NA19239.mat	6	2608990
HG03371.pat	7	1997099
NA19036.mat	7	2061412
NA19129.mat	7	2036024
HG03248.mat	7	2288180
HG03456.mat	7	2239363
HG03452.pat	7	849620
HG02145.mat	7	745767
NA19983.pat	7	859944
HG02587.pat	7	1773789
NA19317.mat	7	2110222
HG02559.pat	7	2221969
HG03098.pat	7	1846767
NA19705.mat	7	1611715
HG02011.pat	8	3131798
HG02630.pat	8	4044656
HG02587.mat	8	2051181
HG03098.mat	8	2544450
NA19129.pat	8	3077576
HG03486.pat	8	3505816
NA21487.mat	8	2273735
HG02666.mat	8	3106048
NA18906.pat	8	3259345
HG02615.mat	8	3164882
NA19836.pat	8	1331966
NA21309.mat	8	1380333
HG02106.mat	9	2709134
HG02004.pat	9	2886897
HG01457.mat	9	2969980
HG01928.mat	9	2721522
NA18989.mat	9	2900169
NA18989.pat	9	2865358
NA18939.pat	9	3384692
NA20847.pat	9	2854990
HG00512.mat	9	2636667
HG02018.pat	9	2590011
HG01071.pat	9	2339926
NA19650.pat	9	2401967
HG00268.mat	9	2445757
HG03009.pat	9	2064855
HG01114.mat	9	2440240
HG00735.pat	9	2430209
HG03927.mat	9	2426658
HG03683.mat	9	2114730
CHM1.pat	9	1995896
HG00732.pat	9	2017899
HG00731.pat	9	2494319
HG00732.mat	9	2463156
HG02080.pat	9	2547018
HG02071.mat	9	2744363
NA18939.mat	9	2362269
HG00673.pat	9	2889344
NA19650.mat	9	2582934
HG002.pat	9	2524851
HG01505.mat	9	2743952
HG03452.mat	10	3354454
NA20355.pat	10	3225869
HG02554.mat	10	3160394
HG02622.mat	10	3263455
HG01361.pat	11	3722414
HG01352.mat	11	3646304
HG01573.pat	11	3815856
HG02080.mat	11	1922562
HG00621.mat	11	2917611
HG03009.mat	11	2355523
NA19036.pat	12	2625007
HG02257.pat	12	2862968
NA19239.pat	12	2898076
HG02554.pat	12	2663852
HG03065.mat	12	2468481
HG03456.pat	12	2335478
HG00358.pat	13	2974170
HG01505.pat	13	2009605
HG00096.pat	13	2777120
HG01114.pat	13	2971622
HG03732.mat	13	3462708
HG03927.pat	13	3204807
HG00731.mat	13	2859665
HG01099.pat	13	2998445
HG01352.pat	13	2810571
NA12329.pat	13	2967721
NA12329.mat	13	3659244
CHM13.pat	13	2920628
HG03807.mat	13	3677384
NA20509.pat	13	2556603
HG03683.pat	13	4015025
NA18534.pat	13	2827035
HG00171.mat	13	4054679
HG00358.mat	13	2178346
HG00864.pat	13	2633756
