Haplotype	Cluster	Contig_len
HG00171.h1	1	2446208
NA20509.h2	1	2238855
CHM1	1	2218735
HG00732.h2	1	2408110
HG00512.h1	2	2700717
HG02059.h2	2	3555040
HG03492.h2	2	3481570
HG03371.h2	3	2381115
NA19129.h2	3	2670846
NA21487.h1	3	3245722
CHM13	4	2246261
HG02004.h1	4	2444266
HG00731.h1	4	2137957
HG01952.h1	4	2175342
HG00512.h2	4	2016666
HG02071.h1	4	1987461
HG01596.h2	4	2133816
HG03732.h2	4	2088475
HG00864.h1	4	2049215
HG02148.h2	4	2003458
HG02106.h2	4	2247763
HG02293.h2	4	2095956
HG02809.h2	4	2188653
HG02953.h2	4	2515641
NA21309.h2	4	2338033
HG01352.h2	4	1877556
HG01457.h1	4	2033003
HG00358.h1	4	3973430
HG04036.h1	4	1813523
NA19650.h2	4	2426606
NA19347.h1	4	2799929
HG02282.h2	4	2212250
NA20847.h2	4	2603549
HG01123.h2	5	2191339
HG03516.h1	5	2466287
HG02011.h2	5	2808250
HG03065.h1	5	2934105
NA19239.h1	5	2612346
NA19705.h2	5	2451179
NA19983.h1	5	2112455
NA19317.h2	5	3151974
NA19384.h1	5	2313471
HG02011.h1	5	3764740
HG03520.h2	5	3772389
HG03065.h2	5	1878903
NA19036.h1	5	1912458
HG02809.h1	6	2240538
HG03098.h2	6	2208401
HG03486.h2	6	2193036
HG03456.h2	6	2225484
NA19239.h2	6	2189248
NA21309.h1	7	1891324
HG02300.h2	7	2676242
HG02492.h2	7	2769270
HG03927.h1	7	3128674
HG02018.h1	7	3967260
NA18989.h1	7	2961835
HG00621.h2	8	418584
HG01457.h2	8	2397128
HG002.h1	8	2443234
HG01352.h1	8	2409077
HG03009.h2	8	2386829
NA20847.h1	8	2014212
HG00731.h2	8	2334363
HG02554.h1	8	2265360
HG00513.h2	8	2448587
HG02059.h1	8	2674542
HG00732.h1	8	2561600
NA20509.h1	8	2042084
HG03807.h2	8	3053594
HG00358.h2	8	1847442
HG01505.h2	8	2870289
HG02071.h2	8	2391994
NA18534.h2	8	2261355
HG005.h2	8	2210355
HG03807.h1	8	2582697
HG01071.h2	8	1930829
HG04217.h2	8	2295854
NA18534.h1	8	2986997
HG00673.h1	8	2552497
HG01596.h1	8	2464921
HG03683.h2	8	2744651
HG00513.h1	8	2573130
HG03732.h1	8	3158659
HG02004.h2	8	2819521
HG04217.h1	8	2170961
HG04036.h2	8	2657286
NA19836.h1	8	2687488
HG01505.h1	8	2705087
HG03683.h1	8	2531804
NA19331.h1	9	2024296
HG03452.h2	9	1832400
HG03516.h2	9	1708741
HG00741.h2	9	1974091
HG02666.h1	9	2211941
HG03248.h1	9	2038456
NA19705.h1	9	2348404
HG00735.h1	9	2342729
HG03520.h1	9	2097555
HG03371.h1	9	1907887
NA19238.h2	9	1775709
HG02554.h2	10	1831989
NA21487.h2	10	1568199
HG02953.h1	10	1834284
HG01890.h1	10	1701208
NA19347.h2	10	1882063
HG02282.h1	10	1516681
HG01099.h2	10	1647748
HG02615.h2	10	1664348
HG03540.h1	10	1697210
HG03486.h1	10	1641208
NA20355.h1	10	1610482
NA19036.h2	10	2345011
NA19129.h1	10	1880415
HG02257.h1	10	1939413
HG02647.h2	10	2190767
HG03456.h1	10	3902596
HG01890.h2	10	3231272
HG01891.h1	10	3102337
HG01071.h1	10	1762622
NA19238.h1	10	1907399
HG02622.h1	11	1937983
HG03098.h1	11	2296672
HG02572.h2	11	2262047
NA19384.h2	11	1679860
HG01175.h1	12	1826777
HG00268.h1	12	2994957
HG01114.h1	12	2991661
NA19650.h1	12	2978491
HG00096.h2	12	1905015
HG00096.h1	12	3069637
HG01106.h2	12	2985906
HG002.h2	12	2689877
HG00171.h2	12	3543363
NA20129.h2	12	2869966
HG03579.h2	12	2790446
NA20355.h2	12	2067014
HG03009.h1	12	3076998
NA18939.h1	12	3150966
HG02886.h2	12	2395803
HG01978.h1	12	1732745
HG02615.h1	12	1822624
NA19317.h1	13	2563523
HG01123.h1	13	3701712
HG01952.h2	13	2420891
HG00438.h2	13	2743845
NA18989.h2	13	2868458
HG02717.h2	14	2465823
HG02769.h2	14	2469400
HG01891.h2	14	2306823
HG03248.h2	14	2231194
HG01106.h1	14	2355988
NA19983.h2	14	1896866
HG03540.h2	14	2518168
HG02587.h2	14	3180274
HG02769.h1	14	2430688
