Haplotype	Cluster	Contig_len
HG00438.h1	1	2444327
HG02300.h2	1	4323166
NA20355.h2	1	1686442
HG00171.h1	1	3893579
HG01099.h2	1	3994157
NA20509.h2	1	2869326
HG03710.h2	1	3703005
HG02018.h2	1	3949388
HG04217.h2	1	4586024
NA19384.h2	2	3553750
HG03371.h2	2	2418942
HG03520.h2	2	2810905
HG02647.h1	2	3506135
NA19347.h1	2	3969765
HG03453.h1	3	3228517
NA19705.h1	3	3248321
NA19983.h2	3	3077932
HG02769.h1	3	2578604
NA19836.h2	3	2672022
HG02622.h1	3	3154454
HG02809.h2	3	2922712
HG03248.h1	3	2430026
HG02559.h2	3	1767402
HG02769.h2	3	1407971
HG02886.h1	3	2266073
HG02953.h2	3	2224210
NA19347.h2	3	1880819
HG02282.h2	3	3444979
HG02953.h1	3	3539424
NA19238.h2	3	2922557
HG02055.h1	3	2712658
HG03520.h1	3	2290253
HG03732.h1	4	3715695
HG02492.h1	4	3397596
HG03492.h1	4	1759440
HG02071.h1	4	3115377
HG01596.h2	4	3674274
NA18534.h2	4	3820284
HG01457.h1	4	3575789
HG00513.h2	4	4509287
HG00864.h2	4	4055361
HG01573.h2	5	3711067
HG02300.h1	5	3417929
HG00438.h2	5	3165450
HG02293.h2	5	2809268
HG02809.h1	5	2949891
HG02572.h2	5	2744292
NA19317.h1	5	3129503
HG002.h2	5	2366174
HG02011.h2	5	2817627
HG04228.h1	5	3026663
HG04228.h2	5	2381545
NA20847.h2	5	2393266
HG03065.h1	6	1866386
HG01890.h1	6	2557397
NA19239.h2	6	2608990
HG03371.h1	7	1997099
NA19036.h2	7	2061412
NA19129.h2	7	2036024
HG03248.h2	7	2288180
HG03456.h2	7	2239363
HG03452.h1	7	849620
HG02145.h2	7	745767
NA19983.h1	7	859944
HG02587.h1	7	1773789
NA19317.h2	7	2110222
HG02559.h1	7	2221969
HG03098.h1	7	1846767
NA19705.h2	7	1611715
HG02011.h1	8	3131798
HG02630.h1	8	4044656
HG02587.h2	8	2051181
HG03098.h2	8	2544450
NA19129.h1	8	3077576
HG03486.h1	8	3505816
NA21487.h2	8	2273735
HG02666.h2	8	3106048
NA18906.h1	8	3259345
HG02615.h2	8	3164882
NA19836.h1	8	1331966
NA21309.h2	8	1380333
HG02106.h2	9	2709134
HG02004.h1	9	2886897
HG01457.h2	9	2969980
HG01928.h2	9	2721522
NA18989.h2	9	2900169
NA18989.h1	9	2865358
NA18939.h1	9	3384692
NA20847.h1	9	2854990
HG00512.h2	9	2636667
HG02018.h1	9	2590011
HG01071.h1	9	2339926
NA19650.h1	9	2401967
HG00268.h2	9	2445757
HG03009.h1	9	2064855
HG01114.h2	9	2440240
HG00735.h1	9	2430209
HG03927.h2	9	2426658
HG03683.h2	9	2114730
CHM1	9	1995896
HG00732.h1	9	2017899
HG00731.h1	9	2494319
HG00732.h2	9	2463156
HG02080.h1	9	2547018
HG02071.h2	9	2744363
NA18939.h2	9	2362269
HG00673.h1	9	2889344
NA19650.h2	9	2582934
HG002.h1	9	2524851
HG01505.h2	9	2743952
HG03452.h2	10	3354454
NA20355.h1	10	3225869
HG02554.h2	10	3160394
HG02622.h2	10	3263455
HG01361.h1	11	3722414
HG01352.h2	11	3646304
HG01573.h1	11	3815856
HG02080.h2	11	1922562
HG00621.h2	11	2917611
HG03009.h2	11	2355523
NA19036.h1	12	2625007
HG02257.h1	12	2862968
NA19239.h1	12	2898076
HG02554.h1	12	2663852
HG03065.h2	12	2468481
HG03456.h1	12	2335478
HG00358.h1	13	2974170
HG01505.h1	13	2009605
HG00096.h1	13	2777120
HG01114.h1	13	2971622
HG03732.h2	13	3462708
HG03927.h1	13	3204807
HG00731.h2	13	2859665
HG01099.h1	13	2998445
HG01352.h1	13	2810571
NA12329.h1	13	2967721
NA12329.h2	13	3659244
CHM13	13	2920628
HG03807.h2	13	3677384
NA20509.h1	13	2556603
HG03683.h1	13	4015025
NA18534.h1	13	2827035
HG00171.h2	13	4054679
HG00358.h2	13	2178346
HG00864.h1	13	2633756
