Haplotype	Cluster	Contig_len
NA19983.h2	1	2147221
HG02011.h1	1	4626612
HG02769.h2	1	3590602
HG02647.h2	2	2695816
HG02666.h1	2	2710115
HG02587.h2	2	1745613
HG02559.h1	2	2996606
NA20355.h1	2	1261418
HG00438.h1	3	2625894
NA18989.h1	3	2069668
HG01114.h2	3	3475826
HG01358.h2	3	2188334
HG02492.h2	3	2238163
NA19036.h1	3	2853630
NA19238.h1	4	3722252
NA19239.h2	4	3695318
NA19317.h2	4	5597282
NA19836.h2	4	3926958
HG01890.h2	5	6511384
HG02554.h1	5	6332264
HG03456.h1	5	5962774
HG02587.h1	6	4264372
HG03456.h2	6	3537145
NA19384.h2	6	2682108
HG03371.h1	6	7141844
HG02011.h2	6	4364192
NA19317.h1	6	5220993
HG03371.h2	7	5318282
HG01890.h1	7	3305421
HG02809.h1	7	3303923
NA19705.h2	8	4785404
NA19036.h2	8	4973372
NA19129.h2	8	4478118
HG002.h2	8	3547144
NA19239.h1	8	7509171
HG03009.h2	8	4049785
NA18534.h2	8	4268517
HG00171.h1	8	5411591
HG00171.h2	8	5778387
NA12329.h2	8	4791507
HG002.h1	8	5247138
NA19650.h1	8	4681119
HG01505.h1	8	4483392
HG00731.h2	8	5143861
HG00864.h2	8	4380793
HG03807.h2	8	4838611
CHM13	8	4967681
CHM1	8	5363001
HG00731.h1	8	5072138
NA18939.h2	8	4413965
HG00864.h1	8	4357025
HG01099.h1	8	4025145
HG03683.h2	9	5065893
HG03009.h1	9	6591506
HG03807.h1	9	5641257
HG00732.h2	9	2256269
HG01505.h2	9	1820403
HG02106.h1	9	5736168
HG02018.h2	9	3684231
NA12329.h1	9	5261408
HG01457.h2	9	5099104
HG00358.h2	9	6313491
HG03710.h2	9	5148297
HG01596.h2	9	2739595
HG02300.h2	9	4270815
NA18989.h2	9	4964155
HG02666.h2	9	4177909
HG03732.h2	9	4251751
