Haplotype	Cluster	Contig_len
HG02492.h1	1	4555285
HG04217.h2	1	6094301
HG00732.h1	1	6534971
HG01114.h1	1	6651538
HG01352.h2	1	6687205
HG02004.h2	1	2718798
HG03683.h1	1	4538571
HG01361.h1	1	4966251
HG00171.h2	1	6407929
HG03927.h1	1	6513145
HG03009.h1	2	4818989
HG03683.h2	2	3495449
HG00732.h2	2	4160216
NA18989.h1	2	4237284
HG02106.h1	2	4528193
HG03492.h1	2	3983669
HG02257.h2	3	3537672
NA19705.h2	3	3497378
NA19317.h1	3	3481735
NA19331.h2	3	3529197
HG03065.h1	3	3492762
HG03520.h1	3	3533423
HG03248.h2	3	3884713
HG01123.h2	3	3676569
NA20129.h1	3	3533347
HG02622.h2	3	3393428
HG03371.h2	3	3859164
NA19331.h1	3	4133645
NA19036.h2	4	3417084
NA19129.h2	4	3429687
HG00741.h2	4	3966392
NA12329.h1	4	2825431
HG01099.h1	4	4042411
NA19983.h2	4	4072324
NA19650.h1	4	2940017
NA20355.h2	4	2740731
HG00512.h1	4	3995499
HG00864.h1	4	3621521
HG01596.h1	4	4202736
NA18906.h1	4	4558779
HG02559.h2	4	4747292
NA18989.h2	4	5052497
HG01890.h2	4	5088667
HG02953.h2	4	5722267
NA19650.h2	4	2197325
NA20509.h2	4	2131769
HG00358.h2	4	2330139
HG00268.h1	4	2369900
HG02486.h2	4	2370577
CHM1	5	3649930
CHM13	5	3927931
HG01457.h2	5	4157782
HG00171.h1	5	3406412
HG01071.h2	5	2022715
HG02282.h2	5	3681850
HG00741.h1	5	4481745
HG02106.h2	5	4212151
HG01596.h2	5	3758362
HG04228.h2	5	4194150
HG01114.h2	5	3911789
HG00621.h1	5	3891515
HG02018.h2	5	5129594
HG002.h2	6	3416616
HG01505.h2	6	3369460
HG00731.h2	6	3906280
HG03710.h1	6	3769234
HG00621.h2	6	3505119
NA18534.h2	6	3678492
HG03009.h2	6	3066101
HG00512.h2	6	3159917
HG02071.h1	6	3320134
HG03732.h1	6	3371859
HG00513.h1	6	3732671
HG04217.h1	6	1729283
HG02300.h1	6	3219688
HG01109.h1	6	3765493
HG03732.h2	6	3467282
HG03807.h1	6	3428055
HG03579.h1	7	2479095
HG02647.h1	7	2897262
HG02953.h1	7	2670987
NA19238.h2	7	4111508
HG02109.h2	7	3030028
NA19129.h1	7	3943830
HG02666.h1	7	2885984
NA19347.h2	7	3718064
HG02723.h2	7	3839782
HG02769.h1	7	3687457
HG02630.h1	8	5719352
HG02769.h2	8	3566981
NA20355.h1	8	3533099
HG03371.h1	8	5982291
HG02666.h2	8	4086245
HG03098.h1	8	4140200
HG03453.h1	8	4242855
HG03520.h2	9	4017174
HG02257.h1	9	3518733
HG02587.h2	9	3891846
HG02809.h1	9	3500285
HG03579.h2	9	3598390
HG03516.h2	9	3572123
NA21309.h1	9	3824831
HG02622.h1	10	5172897
HG02011.h1	10	5496637
NA19036.h1	10	4214142
HG01890.h1	11	3223549
HG02630.h2	11	3667729
NA19317.h2	11	2022443
HG02018.h1	11	6398722
HG02059.h2	11	4756439
HG02080.h2	11	4192762
NA19347.h1	11	3284407
HG02587.h1	11	3586495
NA19384.h2	11	3440171
HG03452.h2	12	5639779
HG02886.h1	12	4276007
HG03456.h1	12	5398924
HG02011.h2	12	2036789
NA19238.h1	12	2278961
HG02145.h2	12	4279471
HG03456.h2	12	2837870
HG03492.h2	13	4018352
HG01106.h2	13	4011523
HG00358.h1	13	3931571
HG01123.h1	13	3947794
HG01505.h1	13	3289898
HG01243.h2	13	3580422
NA20509.h1	13	3547666
HG01243.h1	13	2328852
NA12329.h2	13	3895227
HG002.h1	13	4061246
HG01352.h1	13	4102683
HG00864.h2	14	6951980
HG00513.h2	14	4577467
HG02059.h1	14	5060260
HG02282.h1	14	5335689
HG02559.h1	14	6038820
HG01891.h2	15	3186443
HG03807.h2	15	3894886
HG04036.h2	15	3860409
HG00731.h1	15	4096183
HG01952.h2	15	2904038
NA19384.h1	15	3586313
HG02717.h2	15	3535485
HG03540.h2	15	3334053
