Haplotype	Cluster	Contig_len
CHM13	1	2173801
HG00171.h2	1	2364852
HG01573.h1	1	2327960
HG01352.h2	1	2279191
HG01106.h2	1	2288060
HG01505.h1	1	2147130
HG02109.h2	1	2342616
NA19705.h2	1	1403846
HG03248.h1	1	1694974
NA20355.h1	1	1784364
HG01243.h1	1	1750034
HG02554.h2	1	1809676
HG02572.h2	1	2128536
HG03456.h1	1	2095873
HG02282.h1	1	2056646
HG02587.h2	1	1408038
HG03683.h2	1	2294026
HG04217.h2	1	2500249
HG00731.h2	1	2445228
CHM1	1	2310592
HG002.h2	1	2313652
HG01457.h2	1	2073057
HG01352.h1	1	2016623
HG01952.h1	1	2042290
HG03927.h1	1	1985636
HG01573.h2	1	2580283
HG00732.h1	1	2263137
HG02106.h1	1	2384325
HG02492.h2	2	3030251
HG03009.h1	2	3286476
NA20847.h1	2	2966331
HG00864.h2	2	4039848
NA18939.h2	2	2546461
HG01978.h1	2	3816225
HG02004.h2	2	3821340
HG00171.h1	2	3166751
HG02018.h1	2	1813224
HG00864.h1	2	3836109
HG02293.h2	2	2090769
HG04228.h2	2	2676756
HG01457.h1	2	3093064
HG03710.h2	2	3378080
NA19036.h1	2	1484824
HG02769.h2	2	1271407
NA21487.h1	2	2593389
HG02717.h2	2	2486082
HG03520.h2	2	1912440
NA20355.h2	2	1977357
HG03807.h1	2	2841599
HG002.h1	2	2836233
NA18939.h1	2	3392857
NA20847.h2	2	1916018
HG00268.h2	2	3491860
HG02004.h1	2	2986867
HG03371.h1	2	2210416
HG02554.h1	2	2812084
HG02953.h2	2	2790150
NA19317.h1	2	3038543
NA21487.h2	2	2374016
NA19317.h2	3	3461166
NA19347.h2	3	3450290
HG00268.h1	3	3044841
NA19384.h1	3	3096813
NA19836.h1	3	3144073
HG02769.h1	3	3148606
NA19129.h1	3	3127823
HG04228.h1	3	3749279
HG02018.h2	3	3623734
NA18534.h1	3	3091046
HG00358.h2	3	834483
HG00512.h1	3	5069912
HG03732.h1	3	5412228
HG02071.h2	3	3696102
NA18989.h1	3	4280592
NA12329.h1	3	4109417
NA19983.h1	3	4154456
NA20509.h1	3	3012311
HG03732.h2	3	2814789
HG03710.h1	3	1642345
NA20509.h2	3	2482100
HG00096.h1	3	3256499
HG00732.h2	3	3115639
HG04217.h1	3	2857683
NA12329.h2	3	2756300
HG00358.h1	3	2800234
NA19650.h2	3	2236196
HG02615.h1	4	3621123
HG02666.h2	4	3662918
HG01890.h1	4	3057872
NA19129.h2	4	3018802
HG02011.h2	4	3130584
HG02630.h2	4	2976646
NA19705.h1	4	3941514
HG00731.h1	4	1950909
NA19347.h1	4	2746686
HG03453.h2	5	3103004
HG01890.h2	5	2946034
HG03065.h2	5	3326804
NA18906.h2	5	2473644
HG02953.h1	5	2476532
NA19238.h2	5	2675166
NA19238.h1	5	2579313
NA19239.h1	6	3215800
HG02809.h1	6	3191136
HG03807.h2	6	2195068
NA19036.h2	6	2613524
NA19384.h2	6	2628322
HG01109.h1	6	2657449
NA19983.h2	6	2007859
HG02666.h1	6	2657480
HG03579.h2	6	1573209
NA18906.h1	6	1743197
HG02011.h1	6	3596240
HG03452.h2	6	1479353
HG03371.h2	7	1740783
HG03456.h2	7	1770876
HG03516.h1	7	1989061
HG02282.h2	7	1885127
HG03098.h1	7	1866578
HG02587.h1	7	1982835
HG02257.h1	7	1815748
HG03248.h2	7	1752493
NA19331.h2	7	1802303
NA19331.h1	8	2701785
HG02809.h2	8	4809287
HG03065.h1	8	6974483
HG00096.h2	8	2712516
HG01505.h2	8	2637793
HG02059.h2	8	3034873
HG02071.h1	8	3021611
HG01099.h1	8	3481425
HG02300.h2	8	3077930
HG03683.h1	8	3614554
NA18989.h2	8	2555953
NA19650.h1	8	3012651
