Haplotype	Cluster	Contig_len
HG03065.h1	1	1258014
NA19347.h2	1	1139746
HG02615.h2	1	1104604
HG02622.h1	1	1154035
NA12329.h2	1	1167529
HG00735.h2	1	1071772
NA12329.h1	1	1076273
HG00268.h2	1	1241010
HG00096.h2	1	1372058
HG00358.h2	1	1251712
HG01243.h2	1	1535564
HG03710.h1	1	1206705
HG04036.h2	1	1210627
CHM1	1	1226662
HG002.h1	1	1277356
HG02666.h1	1	2337343
NA20509.h2	1	583481
HG00732.h2	1	606270
HG01114.h1	1	601335
HG00864.h2	1	1318251
HG03927.h2	1	1364412
NA19129.h1	1	1150276
NA19384.h1	1	1310570
HG02809.h1	1	1302891
HG02587.h1	1	1379365
HG03520.h1	1	1342819
NA18906.h2	1	2209986
HG01890.h2	1	1332831
HG02282.h2	1	1401848
HG02615.h1	1	1330448
HG02630.h2	1	434173
HG02554.h2	1	485173
NA19129.h2	1	492653
NA19384.h2	1	1210662
HG02300.h1	1	736480
HG02559.h2	1	265441
NA19650.h2	1	265616
HG01358.h2	1	242161
CHM13	1	341599
HG01114.h2	1	357414
HG04217.h1	1	296896
NA19650.h1	1	239981
HG01457.h2	1	1502355
HG03683.h2	1	1768359
HG02011.h2	1	1387237
HG00268.h1	1	1343152
NA20847.h1	1	1252978
HG02293.h1	1	1150881
HG00731.h1	1	820280
HG00732.h1	1	820280
HG01071.h2	1	659132
HG02492.h2	1	1043719
HG03927.h1	1	1325567
HG005.h1	1	1292104
HG02059.h2	1	1253966
HG03248.h1	1	1720783
NA18534.h2	1	1297815
NA18939.h2	1	904011
HG01099.h1	1	1043237
HG01352.h2	1	1010582
HG00171.h1	1	1474309
HG01099.h2	1	1250463
NA20847.h2	1	1403793
HG03807.h1	1	1367265
HG01596.h2	1	1198594
HG00358.h1	1	479671
HG00741.h2	1	628561
HG04036.h1	1	924565
NA18534.h1	1	597791
NA18989.h2	1	1082185
NA18989.h1	1	1238281
NA20509.h1	1	1638989
HG02071.h1	1	1457632
HG04217.h2	1	1298777
HG00741.h1	1	840979
HG01505.h1	1	629373
HG01071.h1	1	980479
HG002.h2	1	704386
HG00731.h2	1	1078120
HG01573.h2	1	948578
HG00171.h2	1	1566335
HG02492.h1	1	1467670
HG03732.h2	1	1492509
HG01358.h1	1	939615
NA19983.h2	1	1052801
HG01573.h1	1	1806718
HG01352.h1	1	1743067
HG02293.h2	1	1713787
HG02953.h2	1	1736371
HG03520.h2	1	664339
NA19705.h1	1	2082965
HG02769.h1	1	2182837
HG02809.h2	1	2525664
HG02587.h2	1	1544866
HG03098.h2	1	520462
HG02886.h1	1	595321
HG03452.h2	1	597363
HG02666.h2	1	947374
NA20355.h1	1	1060227
HG03009.h1	2	1360460
HG03710.h2	2	3270875
HG03683.h1	2	2159145
HG01596.h1	2	3463047
HG03807.h2	2	2403803
NA19331.h2	3	2532345
HG02257.h2	3	2499992
HG02886.h2	3	2379126
HG03065.h2	4	2097576
NA18906.h1	4	1761253
HG04228.h2	4	1944860
HG04228.h1	4	2064670
HG00438.h2	4	1761902
HG02018.h1	4	2012473
HG00864.h1	4	2197965
HG00513.h2	4	1836801
HG02071.h2	4	1775309
HG02011.h1	4	2012466
HG01890.h1	4	2183650
HG02282.h1	4	2270465
NA18939.h1	4	1579702
NA19317.h1	4	1473359
HG02554.h1	4	1516788
HG03009.h2	4	1811929
HG03371.h2	4	2182679
HG03248.h2	5	1778290
NA19317.h2	5	1783501
NA19705.h2	5	1737275
HG03452.h1	5	2722261
NA19331.h1	5	2697082
NA19347.h1	5	1797907
HG02769.h2	5	2270143
NA19836.h2	5	1812095
HG03371.h1	5	2293311
NA19239.h2	5	625668
HG03456.h2	5	2209453
NA20355.h2	5	1896019
