Haplotype	Cluster	Contig_len
HG01175.mat	1	2846395
HG03456.mat	1	2937592
HG04228.mat	1	2839982
NA19238.mat	1	2690583
HG00512.mat	1	3274185
HG02071.pat	1	3527321
NA18534.pat	1	3122363
NA18939.pat	1	3758651
HG01573.pat	1	3523973
HG00438.pat	1	3189278
HG03710.pat	1	2908209
HG00864.mat	1	2813469
HG00512.pat	1	3056978
HG00513.pat	1	3014266
HG02080.pat	1	2947172
HG03710.mat	1	3361320
HG02587.mat	2	2431766
NA19384.mat	2	2158544
HG02630.pat	2	2554539
HG03248.pat	2	2771799
HG03516.pat	2	3706478
NA21309.pat	2	2409225
HG03520.pat	3	2292847
NA19983.pat	3	1924234
HG01890.mat	3	2741821
NA19239.pat	3	3938127
HG02011.mat	3	2519587
HG03371.mat	3	2489647
HG03486.pat	3	2089648
HG00731.pat	3	4289405
NA12329.pat	3	3518639
HG02059.pat	3	2860492
NA18989.mat	3	3053704
HG03516.mat	4	1995208
NA19705.mat	4	2113453
HG02717.mat	4	3210959
NA20129.mat	4	3161046
HG01243.mat	4	3793181
HG01928.mat	4	3047937
HG02004.mat	4	3662219
HG002.mat	4	2352998
HG02492.mat	4	2295404
HG002.pat	4	2205113
HG01099.mat	4	1069970
HG02293.mat	4	1066774
HG02148.mat	4	2265370
HG00735.mat	4	2688400
HG01361.pat	4	3229192
HG00268.pat	4	2024928
HG00741.mat	4	2555563
HG03009.mat	4	2729683
HG01505.mat	4	1522739
HG01099.pat	4	1513123
HG02145.pat	4	1264374
HG00171.mat	4	1020928
HG00358.pat	4	1095996
HG01123.mat	4	2247383
HG01071.pat	4	2461119
HG01358.mat	4	2457374
HG00735.pat	4	2600759
HG01106.mat	4	2701835
HG01952.pat	4	2209609
NA19650.mat	4	2432418
HG02109.mat	4	1521779
HG02572.pat	4	2338861
HG03492.pat	4	2878465
HG00171.pat	4	2304879
HG01106.pat	4	2422107
HG04036.pat	4	1882590
NA20509.mat	4	1904530
HG00673.mat	4	2538524
CHM1.pat	4	2528273
CHM13.pat	4	2629290
NA21487.mat	4	2845379
HG00621.mat	4	2219533
HG02018.pat	4	2788745
NA19036.pat	5	4461015
HG02769.mat	5	3247005
HG03248.mat	5	2744714
HG02282.mat	5	3240641
HG02769.pat	5	3416754
HG03540.mat	5	2636011
NA19331.mat	5	2545493
NA19347.mat	5	2573497
HG03452.pat	5	2082314
HG02554.pat	5	2316998
HG02809.pat	5	1686231
HG02630.mat	5	2334201
HG02257.mat	5	2599602
HG02953.pat	5	2619514
HG005.mat	5	2388404
HG02666.mat	5	2840138
HG02011.pat	5	2946154
HG02293.pat	5	3125007
NA18989.pat	5	2423027
NA18534.mat	6	2592215
HG02059.mat	6	2689369
HG02071.mat	6	2941322
HG02018.mat	6	2048176
HG02106.pat	6	3418025
HG03492.mat	6	2725388
HG03927.mat	6	4798377
HG04217.mat	6	1869444
HG01114.mat	6	4695309
HG00268.mat	6	4893113
HG00731.mat	6	4192355
HG01352.mat	6	2692154
HG01505.pat	6	2639711
HG00096.mat	6	2505023
NA12329.mat	6	3198349
NA20509.pat	6	2961209
HG00358.mat	7	4610279
HG01114.pat	7	2646781
NA19983.mat	7	4963165
HG03456.pat	7	2843639
NA19317.pat	7	2691551
NA19238.pat	7	3087918
HG03098.pat	7	3328937
NA19317.mat	7	3661644
HG02055.pat	7	2186701
HG02622.mat	7	2898687
HG01352.pat	8	4288293
HG01358.pat	8	3284269
HG02004.pat	8	4556378
HG01952.mat	8	4548328
HG02300.mat	8	5136419
NA20847.mat	8	3947587
HG02492.pat	8	4177042
HG03927.pat	8	4185015
HG03009.pat	8	5124343
HG03807.pat	8	3411638
HG02300.pat	8	4601382
HG02106.mat	8	3584698
NA19650.pat	8	3321227
HG04217.pat	8	3260552
NA20847.pat	8	3548072
HG01596.mat	8	2885082
HG00438.mat	8	4212573
NA18939.mat	8	4409945
HG02647.pat	9	1585154
NA19239.mat	9	1725191
HG03579.mat	9	1470773
NA19384.pat	9	1862643
HG02554.mat	9	2158940
HG01890.pat	9	1594641
NA19705.pat	9	1637720
HG02953.mat	10	895807
HG03371.pat	10	1806329
HG02559.mat	10	2285109
HG02666.pat	10	2129253
HG02282.pat	10	2037020
HG02809.mat	10	2012071
HG02486.pat	11	1457121
NA19129.pat	11	1740603
HG02615.pat	11	1674389
NA19129.mat	11	1717483
HG03486.mat	12	2423074
HG02559.pat	12	2632951
NA20355.mat	12	2602653
HG02886.pat	12	2410482
HG03452.mat	12	2195806
