Haplotype	Cluster	Contig_len
NA19650.pat	1	3215434
HG002.mat	1	3928138
HG00268.mat	1	3911296
HG03683.pat	1	3108938
HG01123.pat	1	5942066
HG01243.pat	1	4682316
NA18939.pat	1	4385625
HG00438.pat	1	5391410
HG01258.pat	1	4947209
HG00864.mat	1	4764119
HG00621.mat	1	4542809
HG03807.mat	1	4452992
NA18534.mat	1	4641072
HG00673.pat	1	3703810
NA18534.pat	1	3918837
NA18989.pat	1	3704844
HG01358.pat	1	5015127
HG01573.mat	1	4868586
HG01928.mat	1	4092202
HG01978.mat	1	4055042
HG00673.mat	1	4842971
NA18939.mat	1	4700256
HG00438.mat	1	5208520
HG005.pat	1	3347723
HG04036.mat	1	4222477
HG02666.pat	2	3969733
HG02257.mat	2	4092681
NA20355.pat	2	4329908
HG01175.mat	2	3566923
HG03098.mat	2	3790479
HG03520.mat	2	3559704
HG02011.pat	2	4139849
HG02554.pat	2	3264597
NA19036.mat	2	4608795
HG02622.mat	2	1674503
NA18906.mat	2	5411427
NA19317.pat	3	4985629
HG02717.pat	3	4802424
HG03540.pat	3	5465897
NA19331.pat	3	6374654
HG02622.pat	3	4951536
NA19239.mat	3	5142681
HG02011.mat	3	6052843
HG03452.pat	3	6143734
NA12329.pat	4	5147861
NA20509.mat	4	4993695
NA20509.pat	4	5339817
HG00358.pat	4	5498723
HG01114.pat	4	6274507
HG02282.pat	4	5653166
HG00171.pat	4	5649791
NA12329.mat	4	5478598
HG01352.pat	4	4434334
HG02145.mat	4	4848388
HG00735.pat	4	4368169
HG01978.pat	4	5240590
HG01099.pat	4	6511299
HG002.pat	4	5719878
HG01123.mat	4	5530560
HG00732.pat	4	5661310
NA19983.mat	4	5375873
HG02572.mat	4	4492369
NA19331.mat	4	4684485
HG01106.pat	4	5262756
HG03927.mat	4	3536415
HG02004.pat	4	5400208
HG02492.pat	4	6220771
HG03371.mat	4	6275558
HG01505.pat	4	5067881
HG03732.mat	4	4288005
HG04228.pat	4	4528093
HG02257.pat	5	4919170
NA19036.pat	5	5086681
HG01109.pat	5	3638877
HG02630.mat	5	4691111
HG01099.mat	6	4275092
HG01109.mat	6	4296124
HG02004.mat	6	4550511
HG01175.pat	6	4168295
HG01243.mat	6	4144531
HG03456.mat	7	3106582
HG03579.pat	7	3053486
HG03248.mat	7	5583466
NA19239.pat	7	5033412
HG02559.pat	7	5077207
HG03098.pat	7	5217355
HG01890.mat	7	3690065
HG02647.mat	7	4579594
NA19238.pat	7	3509004
HG00171.mat	8	3830334
HG03710.mat	8	3623127
HG02559.mat	8	3348067
HG03732.pat	8	3472382
HG01352.mat	8	4384401
HG00268.pat	8	3569720
HG04217.pat	8	3973617
NA18989.mat	8	3913410
HG00513.pat	8	4365684
HG02071.pat	8	3907067
HG00864.pat	8	3975632
HG02080.mat	8	3673696
HG01596.mat	8	3198446
HG01358.mat	8	3940314
HG01596.pat	8	3742153
HG03683.mat	8	5234665
HG03927.pat	8	5312476
HG00732.mat	8	5987390
HG01457.mat	8	4066957
CHM1.pat	9	4317285
HG03807.pat	9	4336841
HG04036.pat	9	4040028
CHM13.pat	9	4504327
NA19650.mat	9	4513073
HG03710.pat	9	4159727
HG02018.mat	9	3642863
HG02300.mat	9	3467892
HG03009.pat	9	2954541
HG04217.mat	9	3879162
HG00513.mat	9	3641018
HG02071.mat	9	3775078
HG02106.mat	9	3245790
HG02492.mat	9	4067303
NA20847.mat	9	3810825
HG03065.mat	10	4009521
NA19347.mat	10	3899205
HG02666.mat	10	4445922
HG03579.mat	10	4348913
HG02615.pat	10	4355297
NA21487.mat	10	4036792
HG03540.mat	11	3673213
HG02109.mat	11	4379747
NA19238.mat	11	4371218
HG02886.pat	11	4445416
NA19317.mat	11	4177261
HG02809.mat	11	4185486
NA20355.mat	11	6545491
HG02572.pat	11	6011491
NA19983.pat	11	6826643
HG02809.pat	12	3962050
NA19384.pat	12	4465871
HG02769.pat	12	3500564
NA19705.pat	12	3245857
HG01890.pat	13	4336249
HG03248.pat	13	3606169
NA19705.mat	13	3694835
HG02647.pat	13	3268260
HG02886.mat	13	3444525
HG03520.pat	13	3176323
HG02282.mat	13	3802464
HG03452.mat	13	2771925
HG02769.mat	13	4023236
HG03456.pat	13	4389047
HG02059.mat	14	4441735
HG01361.pat	14	4044950
HG01573.pat	14	3965631
HG02300.pat	14	4160135
HG01457.pat	14	4372394
HG01928.pat	14	4123808
HG02055.mat	14	3188710
HG02615.mat	14	3538149
