Haplotype	17-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1	2353422	259647	4853581	2	EUR	7466649
CHM13	1153521	105844	3417253	2	EUR	4676617
HG002.h2	1526641	222768	3149488	3	EUR	4898896
HG002.h1	3009573	325621	1619988	1	EUR	4955181
HG00268.h1	1055178	131152	2168073	4	EUR	3354402
HG00358.h2	1090046	173252	5354815	2	EUR	6618112
HG00731.h1	2044049	196527	2291219	1	AMR	4531794
HG00864.h1	1422470	142596	1943779	1	EAS	3508844
HG01457.h2	1682550	132015	1501713	1	AMR	3316277
HG01457.h1	1558460	368314	2835221	3	AMR	4761994
HG01890.h1	1318319	106144	3198882	4	AFR	4623344
HG02106.h1	1694138	135248	1411674	1	AMR	3241059
HG02666.h2	2787018	265579	2919076	1	AFR	5971672
HG03065.h2	2656808	23484	2119620	4	AFR	4799911
HG03371.h2	1277907	131290	1835394	4	AFR	3244590
HG03732.h2	1546883	293105	2863457	3	SAS	4703444
HG04217.h2	2428421	209265	2407252	1	SAS	5044937
HG04217.h1	2055603	173366	2252204	1	SAS	4481172
NA18534.h1	1491863	148999	2156961	4	EAS	3797822
NA19347.h1	3403082	248332	3389387	4	AFR	7040800
