Haplotype	2-mer	4-mer	6-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1	384233	893810	225333	17498	20931	8	EUR	1541804
CHM13	452749	1574833	274180	20250	33489	8	EUR	2355500
HG00096.h2	439007	1588478	98744	18513	64078	1	EUR	2208819
HG00096.h1	477429	1531325	83471	17145	37634	1	EUR	2147003
HG00171.h1	252645	1076035	37693	14421	50775	1	EUR	1431568
HG002.h2	389043	1449104	67223	14597	32030	1	EUR	1951996
HG002.h1	362539	1377100	64188	12067	68289	1	EUR	1884182
HG00268.h2	444216	1814756	96717	26505	41969	6	EUR	2424162
HG00268.h1	269246	1116065	51904	9515	63516	1	EUR	1510245
HG00438.h1	448905	1610861	70252	15792	52548	1	EAS	2198357
HG00512.h1	196201	942744	43781	7820	50526	1	EAS	1241071
HG00513.h2	378904	1250679	77389	18840	33900	1	EAS	1759711
HG00731.h2	455564	1537485	142570	10021	53487	1	AMR	2199126
HG00731.h1	498310	1363341	235365	11724	22630	8	AMR	2131369
HG00732.h2	456489	1427356	278322	23319	23240	8	AMR	2208725
HG00732.h1	422761	1647597	64138	12067	49059	1	AMR	2195621
HG00735.h2	295027	1162231	151665	22915	43435	2	AMR	1675272
HG00735.h1	426513	1523299	35663	18846	114525	1	AMR	2118845
HG00741.h2	451570	1597261	71265	11217	50078	1	AMR	2181390
HG00864.h2	343332	1275814	41757	12241	64411	1	EAS	1737554
HG00864.h1	447527	1538854	68234	6803	52875	1	EAS	2114292
HG01071.h2	606487	1960407	42795	18843	158617	1	AMR	2787148
HG01099.h2	430871	1562664	73313	16987	53585	1	AMR	2137419
HG01106.h2	443929	1458559	250644	16327	28470	8	AMR	2197928
HG01106.h1	382597	1447761	65183	11205	31812	1	AMR	1938557
HG01109.h2	390699	1328047	156743	24435	30744	2	AMR	1930667
HG01109.h1	307231	1267597	153696	23937	43433	2	AMR	1795893
HG01114.h1	490778	1574086	262854	17689	27626	8	AMR	2373032
HG01175.h2	537227	1604560	416791	38198	36232	12	AMR	2633007
HG01175.h1	467157	1615635	101819	17325	59360	1	AMR	2261295
HG01258.h1	385352	1574067	133367	20398	27056	5	AMR	2140239
HG01352.h2	517478	1852900	71271	19030	59342	1	AMR	2520020
HG01352.h1	455785	1450258	429018	34127	34755	12	AMR	2403942
HG01457.h2	281049	1214601	104861	20374	43433	2	AMR	1664317
HG01457.h1	495011	1754277	94656	20903	53729	1	AMR	2418575
HG01505.h2	397613	1436993	38715	13252	56581	1	EUR	1943153
HG01505.h1	523538	1997612	109934	23786	44875	1	EUR	2699744
HG01573.h2	306174	1205047	157774	19859	43436	2	AMR	1732289
HG01573.h1	699626	1940317	224402	7990	59336	11	AMR	2931670
HG01596.h1	493328	1863686	117097	16492	31263	6	EAS	2521865
HG01890.h2	529586	1637416	314785	32607	50397	4	AFR	2564790
HG01890.h1	405784	1622314	85535	18850	51873	6	AFR	2184355
HG01891.h2	404793	1319182	104065	14795	22907	11	AFR	1865741
HG01978.h2	536749	1911209	75361	27168	58651	1	AMR	2609137
HG02004.h2	398998	1650231	135427	26341	23064	5	AMR	2234060
HG02004.h1	381329	1560514	125238	23804	24756	5	AMR	2115640
HG02011.h2	532692	1551693	322932	29216	34790	4	AFR	2471322
HG02011.h1	403595	2171442	44842	4753	50781	15	AFR	2675412
HG02018.h1	443322	1903662	122172	32480	40799	6	EAS	2542434
HG02055.h1	258197	1082024	41793	6115	66456	11	AFR	1454584
HG02059.h2	461768	1727718	114054	21263	38732	6	EAS	2363534
HG02059.h1	441688	1545606	227233	11388	26243	8	EAS	2252157
