Haplotype	8-mer	10-mer	16-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1	62484	1664165	24450	93781	22654	3	EUR	1867533
CHM13	81523	1589524	76090	204167	29460	4	EUR	1980763
HG00171.h2	74721	1888110	105939	156604	33721	2	EUR	2259094
HG00171.h1	46175	1315878	19018	88011	22654	3	EUR	1491735
HG002.h2	82872	1589576	89674	161146	23277	4	EUR	1946544
HG002.h1	57066	2013578	92385	163455	23939	2	EUR	2350422
HG00268.h2	80172	1558649	81530	176708	17500	4	EUR	1914558
HG00268.h1	61141	2057726	103235	169568	30356	2	EUR	2422025
HG00358.h2	118209	1759502	73370	181148	29460	4	EUR	2161688
HG00358.h1	62492	1490963	24453	100239	22654	3	EUR	1700800
HG00438.h2	65208	1971301	97811	158736	29259	2	EAS	2322314
HG00438.h1	66580	1239542	100551	168885	20882	4	EAS	1596439
HG005.h2	44831	1108594	73376	102563	28735	4	EAS	1358098
HG00512.h2	103181	1507872	95112	142850	20627	4	EAS	1869641
HG00512.h1	55712	1856021	108682	173986	20212	2	EAS	2214612
HG00513.h2	32608	928703	97819	145217	29863	4	EAS	1234209
HG00513.h1	58419	1492355	54349	120493	37619	4	EAS	1763234
HG00621.h1	61143	1898529	108675	159394	26394	2	EAS	2254134
HG00731.h2	82882	1694781	100542	154651	43364	4	AMR	2076219
HG00731.h1	52993	1463586	100527	167529	44289	2	AMR	1828923
HG00732.h2	61136	1304035	29881	99867	22654	3	AMR	1517572
HG00741.h1	70645	1764207	67914	166805	31128	2	AMR	2100698
HG00864.h2	55707	971438	119557	102534	35487	2	EAS	1284722
HG00864.h1	39402	1327963	84226	147191	32921	4	EAS	1631702
HG01071.h1	47549	1365176	111383	116104	28838	2	AMR	1669049
HG01099.h2	58414	1538475	29889	87999	22649	3	AMR	1737425
HG01099.h1	84231	1435094	67933	164865	25379	4	AMR	1777501
HG01114.h2	48913	1371833	54354	88712	29775	4	AMR	1593586
HG01114.h1	55707	1876408	67905	163125	29085	2	AMR	2192229
HG01175.h2	47549	1365209	111378	103202	25714	2	AMR	1653051
HG01175.h1	61138	1932374	65190	167522	35167	2	AMR	2261390
HG01352.h2	70646	1387250	114140	175059	34778	4	AMR	1781872
HG01352.h1	100538	1383902	105989	155644	23679	4	AMR	1769751
HG01457.h2	88279	1567149	119569	225664	38450	4	AMR	2039110
HG01457.h1	29886	1476967	10855	88758	27699	2	AMR	1634164
HG01505.h2	77415	1495949	29889	95476	22653	3	EUR	1721381
HG01505.h1	58423	1567321	29889	82737	22654	3	EUR	1761023
HG01573.h2	69295	1911864	111388	152944	27777	2	AMR	2273267
HG01573.h1	61140	1358340	103243	120854	26064	2	AMR	1669640
HG01596.h2	86953	1493074	100551	125465	35041	4	EAS	1841083
HG01596.h1	81525	1780171	111425	133959	23946	4	EAS	2131025
HG01890.h2	89661	1723206	81524	147558	23678	4	AFR	2065626
HG01890.h1	29886	1531464	21731	113797	19269	3	AFR	1716146
HG01978.h2	35311	1548297	8136	95524	27725	2	AMR	1714992
HG02004.h2	80165	1443529	92390	189385	21980	4	AMR	1827448
HG02004.h1	47557	1151089	73364	92789	31856	4	AMR	1396654
HG02011.h2	40761	546974	5438	1834811	20543	1	AFR	2448526
HG02011.h1	115496	1426768	116849	134421	16811	4	AFR	1810344
HG02018.h2	52993	1890012	116816	177054	28051	2	EAS	2264925
HG02018.h1	70637	1590488	59784	92345	20958	4	EAS	1834211
HG02059.h2	50278	1045843	57071	70102	25714	4	EAS	1249007
HG02059.h1	66579	1813311	100517	156995	46479	2	EAS	2183880
HG02071.h2	105992	1793213	203814	292124	19599	4	EAS	2414741
HG02071.h1	61129	1110589	103269	150942	22614	4	EAS	1448542
HG02080.h2	66577	1466981	65215	99214	26046	4	EAS	1724032
HG02106.h2	71994	1203649	51630	92462	25035	4	AMR	1444769
HG02106.h1	54346	1399157	116821	118483	26079	2	AMR	1714885
HG02145.h2	84234	2243316	89664	191227	28430	2	AFR	2636870
HG02257.h2	51629	1252989	59780	109745	31856	4	AFR	1505998
HG02282.h2	84245	2474121	119544	270633	27038	2	AFR	2975580
HG02282.h1	19018	292105	5430	874682	10367	1	AFR	1201601
HG02293.h2	48907	1327790	108677	111685	26076	2	AMR	1623134
HG02293.h1	40758	1287015	78789	79075	29473	2	AMR	1515109
HG02300.h2	51625	959461	62503	114469	25714	4	AMR	1213771
HG02300.h1	67910	1655488	24453	83408	22654	3	AMR	1853912
HG02486.h1	32614	273442	16306	2105338	10368	1	AFR	2438067
HG02492.h2	70641	1210670	65218	114260	27054	4	SAS	1487842
HG02492.h1	69283	1456903	97784	151882	25029	2	SAS	1800880
HG02554.h2	42121	1708129	35308	128083	27755	3	AFR	1941395
HG02554.h1	17664	337994	19032	1493187	102169	1	AFR	1970045
HG02559.h1	66581	1466713	78808	103097	21695	4	AFR	1736893
HG02587.h2	44838	1213928	38023	121353	29089	3	AFR	1447230
HG02587.h1	80137	1667108	65197	134006	23678	4	AFR	1970125
HG02615.h1	96453	1711251	86950	193956	24857	4	AFR	2113466
HG02622.h2	13586	139308	5437	884239	948722	1	AFR	1991291
HG02666.h2	96448	1823284	84236	209602	24856	4	AFR	2238425
HG02666.h1	70645	1355052	62481	122959	22655	4	AFR	1633791
HG02717.h1	61136	1784709	48902	155825	26693	3	AFR	2077264
HG02769.h2	47536	1529549	27174	124645	33838	4	AFR	1762741
HG02769.h1	78782	1981621	16296	183027	42424	4	AFR	2302149
HG02809.h2	25811	1587575	16296	129413	23982	3	AFR	1783076
HG02886.h2	58412	1205660	182071	159512	32788	4	AFR	1638442
HG02953.h2	100542	1748824	51620	178027	25035	4	AFR	2104047
HG02953.h1	51625	1422941	48901	114262	18847	3	AFR	1656575
HG03009.h2	76082	1495969	92398	158045	23679	4	SAS	1846172
HG03065.h2	47557	1368320	35301	122729	33996	3	AFR	1607902
HG03065.h1	78805	1385133	78809	112269	27878	4	AFR	1682893
HG03248.h2	80157	1419201	76091	117365	26455	4	AFR	1719268
HG03248.h1	89634	2057924	48843	69565	43847	4	AFR	2309812
HG03371.h2	111396	2076365	255444	202966	15468	4	AFR	2661638
HG03371.h1	101911	1329999	86963	108279	18852	4	AFR	1646003
HG03452.h2	35322	738596	48906	67519	25031	3	AFR	915373
HG03456.h2	47542	1444784	29886	156821	36581	4	AFR	1715613
HG03456.h1	27177	521468	5438	1682586	20543	1	AFR	2257211
HG03516.h1	50248	1079997	40763	105143	16551	4	AFR	1292701
HG03520.h2	74696	2010534	37977	61755	51046	4	AFR	2236007
HG03520.h1	84237	1529631	81526	139386	29858	4	AFR	1864637
HG03579.h1	110067	1411537	89669	95379	18852	4	AFR	1725503
HG03683.h2	85583	2377446	152154	208277	25025	2	SAS	2848484
HG03683.h1	84238	1297316	97839	163504	28047	4	SAS	1670943
HG03710.h2	57060	1249475	57078	91450	25712	4	SAS	1480774
HG03732.h2	66565	2064688	116836	164435	35026	2	SAS	2447549
HG03732.h1	12228	214012	0	2738287	3738	1	SAS	2968264
HG03807.h2	78802	1421385	105990	149919	28384	4	SAS	1784479
HG03927.h2	71982	1103808	76089	137696	23334	4	SAS	1412908
HG03927.h1	67930	1213966	65216	85359	26809	4	SAS	1459279
HG04036.h2	76078	1277074	81528	154009	29748	4	SAS	1618436
HG04036.h1	70647	1504182	86956	176400	22321	4	SAS	1860505
HG04217.h2	93759	1482552	103273	154983	29747	4	SAS	1864313
HG04217.h1	69295	1698038	103231	163458	29109	2	SAS	2063130
HG04228.h2	54336	2012043	116851	152549	32403	2	SAS	2368181
HG04228.h1	61134	1529998	27171	79521	22654	3	SAS	1720477
NA12329.h2	81491	1487426	29889	90727	22654	3	EUR	1712186
NA12329.h1	74735	1978103	97807	163100	30314	2	EUR	2344058
NA18534.h2	74733	1373991	92391	190927	27819	4	EAS	1759860
NA18534.h1	69299	1372276	86955	161779	29861	4	EAS	1720169
NA18939.h2	59767	1956075	95105	150872	25029	2	EAS	2286847
NA18939.h1	50277	1358180	67922	127301	46874	4	EAS	1650553
NA18989.h2	58419	1434703	65214	95196	18917	4	EAS	1672448
NA18989.h1	66579	1358429	89659	164156	36322	4	EAS	1715144
NA19036.h1	17660	319327	13598	2082280	11049	1	AFR	2443913
NA19129.h2	19024	270066	0	2127892	12690	1	AFR	2429671
NA19129.h1	47558	1085416	48912	81478	22199	4	AFR	1285562
NA19238.h2	38046	1154558	38024	105734	29089	3	AFR	1365450
NA19238.h1	66573	1339781	57057	113533	25031	3	AFR	1601974
NA19239.h2	54327	1226022	46199	109555	16546	4	AFR	1452648
NA19239.h1	32556	1419110	2713	75585	22992	3	AFR	1552955
NA19317.h2	50264	779250	51623	88197	22995	3	AFR	992328
NA19317.h1	93723	1748520	76069	141118	23678	4	AFR	2083107
NA19331.h2	51624	1582461	48890	75179	25714	3	AFR	1783867
NA19331.h1	31248	351504	54342	93699	33176	4	AFR	563968
NA19347.h2	69264	1424551	57063	155067	22729	4	AFR	1728673
NA19347.h1	38045	417746	54341	90295	33174	4	AFR	633600
NA19384.h2	57071	1228115	48900	93710	22199	4	AFR	1449994
NA19384.h1	93707	1460147	97831	223906	37639	4	AFR	1913229
NA19650.h2	76089	1872811	116814	152608	20551	2	AMR	2238872
NA19650.h1	84230	2445289	116829	195201	35535	2	AMR	2877083
NA19705.h2	92396	1851503	73371	123591	24605	4	AFR	2165465
NA19705.h1	44833	1823627	27156	154920	22645	3	AFR	2073180
NA19836.h2	58426	742197	81529	119493	24016	4	AFR	1025660
NA19836.h1	65217	1347945	86949	103797	27879	4	AFR	1631786
NA19983.h2	105961	1251553	59766	127654	24696	4	AFR	1569629
NA20129.h2	57059	1324428	111393	112022	22656	2	AFR	1627557
NA20355.h2	57069	1604667	97804	135928	31122	2	AFR	1926589
NA20355.h1	81512	1139455	57052	115192	24695	4	AFR	1417905
NA20509.h2	92397	1715214	84246	200985	21639	4	EUR	2114480
NA20509.h1	76090	2178638	105957	161009	32137	2	EUR	2553830
NA20847.h2	82882	1751194	73367	101203	10015	4	SAS	2018660
NA20847.h1	62500	1475706	105971	145106	25976	2	SAS	1815258
NA21487.h2	57068	716731	59787	113718	24016	4	AFR	971319
NA21487.h1	63866	1247787	86960	102098	29300	4	AFR	1530010
