Haplotype	4-mer	7-mer	10-mer	11-mer	15-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1	413337	34585	54583	1342657	0	14497	9720	3	EUR	1869378
CHM13	234570	7150	5118	710530	2561	27808	24561	4	EUR	1012297
HG00096.h1	354192	15490	56290	1195339	2561	20463	7156	3	EUR	1651490
HG00171.h2	236600	9536	10236	769087	15366	22857	59209	4	EUR	1122890
HG00171.h1	252898	29797	46058	794852	0	19281	5620	3	EUR	1148505
HG002.h2	248167	7152	20472	825419	33293	21322	79168	4	EUR	1234992
HG002.h1	294378	25051	44356	756280	0	6308	5962	1	EUR	1132334
HG00268.h2	134616	16689	46038	556824	40973	11265	19818	4	EUR	826222
HG00268.h1	324985	44134	68240	799421	0	6824	10217	1	EUR	1253820
HG00358.h2	259714	13110	1706	767314	2561	19437	51532	4	EUR	1115373
HG00358.h1	454224	17883	34120	1810450	151054	18246	16701	4	EUR	2502677
HG00512.h1	452768	40535	81876	1521097	0	16203	5620	3	EAS	2118098
HG00513.h1	166563	10726	5118	506455	10242	23032	24369	4	EAS	746504
HG00731.h2	107416	8344	1706	320900	0	4612	69424	4	AMR	512401
HG00731.h1	372582	22666	75061	923293	0	12106	11075	1	AMR	1416782
HG00732.h2	105376	8344	1706	311515	0	4612	69424	4	AMR	500976
HG00732.h1	92456	9534	1706	273958	0	5271	63122	4	AMR	446046
HG00741.h2	261083	3576	11942	827352	12805	23716	63305	4	AMR	1203778
HG00741.h1	415433	28618	39230	1292437	66527	39179	5457	2	AMR	1886880
HG00864.h2	248856	13110	0	782209	5122	13651	135140	4	EAS	1198087
HG00864.h1	346072	23856	42650	904590	10250	5458	7021	1	EAS	1339896
HG01099.h2	520087	33388	86998	1791099	0	14330	17906	3	AMR	2463807
HG01114.h2	323586	27424	61411	1076199	0	10405	11763	3	AMR	1510787
HG01114.h1	420792	51267	57995	1376402	0	18597	12099	3	AMR	1937151
HG01175.h1	237969	5961	13648	771050	12805	19787	59210	4	AMR	1120429
HG01243.h2	248795	21459	40937	1299692	0	22993	13704	6	AMR	1647579
HG01258.h1	414057	22661	52877	1254608	0	19598	9716	3	AMR	1773516
HG01352.h2	365807	21467	81888	975970	0	8700	24517	1	AMR	1478348
HG01352.h1	348728	34572	27296	1142459	0	6651	22003	3	AMR	1581708
HG01358.h2	298476	32199	35814	941597	40953	43104	16967	2	AMR	1409109
HG01358.h1	280788	26241	30708	722507	2556	5626	6947	1	AMR	1075372
HG01361.h1	496291	34576	68224	1567754	2561	35653	8319	3	AMR	2213377
HG01457.h2	459628	14292	66534	1468467	0	8872	5106	3	AMR	2022898
HG01457.h1	311411	15476	29002	1347084	87048	54917	14108	4	AMR	1859045
HG01505.h2	475217	34580	68221	1545176	2561	32391	8976	3	EUR	2167121
HG01505.h1	267866	20275	35826	741272	0	5456	7661	1	EUR	1078355
HG01573.h2	297812	19081	49475	823897	0	5631	16342	1	AMR	1212237
HG01573.h1	388916	33385	69924	1286826	58857	39022	10514	2	AMR	1887443
HG01596.h2	276722	27438	32414	733766	5128	3412	4594	1	EAS	1083473
HG01596.h1	492893	40539	51176	1582731	0	15348	7667	3	EAS	2190353
HG01890.h2	635047	8342	1706	1941635	2553	20788	7155	5	AFR	2617225
HG01890.h1	148749	91765	15354	472134	0	6990	5621	5	AFR	740612
HG01891.h2	205332	9536	8530	669592	2561	10732	50898	4	AFR	957180
HG01978.h1	389602	21467	85300	1041606	0	5972	25026	1	AMR	1568972
HG02004.h2	382809	23853	71651	1037926	0	11432	27580	1	AMR	1555250
HG02004.h1	473261	23841	104066	2003551	217649	61751	14108	4	AMR	2898226
HG02011.h2	152834	91760	15354	483310	0	6994	5621	5	AFR	755872
HG02011.h1	273966	21452	44350	1143517	10244	17213	20988	4	AFR	1531729
HG02018.h2	399095	29802	93825	1250940	2561	24874	13812	3	EAS	1814908
HG02018.h1	319576	25050	56298	906496	2561	4097	18215	1	EAS	1332292
HG02055.h1	154198	83425	13648	492719	0	9209	5621	5	AFR	758819
HG02059.h2	294399	31017	35826	769402	5128	3412	3234	1	EAS	1142417
