Haplotype	8-mer	10-mer	12-mer	14-mer	16-mer	18-mer	20-mer	22-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1	248642	531848	978788	666249	655263	260034	217520	201944	493832	63166	9	EUR	4317285
CHM13	274465	557359	1033899	659111	666217	299841	227707	201928	512171	71630	9	EUR	4504327
HG00171.h2	294831	562468	768783	559122	622610	226366	169903	127128	408862	90262	8	EUR	3830334
HG00171.h1	617000	915714	839980	770828	872885	311954	220955	246737	670636	183103	4	EUR	5649791
HG002.h2	447156	603055	524047	511467	649932	229389	217528	156995	490100	98470	1	EUR	3928138
HG002.h1	648272	888445	960336	780322	864714	299752	224344	228062	660464	165168	4	EUR	5719878
HG00268.h2	429481	586063	524055	516241	652663	235501	231115	145803	486007	104368	1	EUR	3911296
HG00268.h1	320651	591257	691291	494879	437686	214120	156343	119625	480952	62917	8	EUR	3569720
HG00358.h1	600655	942834	831834	716096	813063	293586	220936	205645	719493	154582	4	EUR	5498723
HG00438.h2	485103	823946	632118	644678	1046825	299723	251521	216782	644297	163528	1	EAS	5208520
HG00438.h1	487928	771267	778918	711345	929972	308888	271926	224273	765898	140996	1	EAS	5391410
HG005.h1	357405	451883	519927	418659	554643	177361	146135	164461	432290	124960	1	EAS	3347723
HG00513.h2	235103	429890	785126	587687	587292	247813	166552	138332	427852	35372	9	EAS	3641018
HG00513.h1	394023	592999	844177	768482	633509	195746	207325	175717	489104	64603	8	EAS	4365684
HG00621.h2	489305	718579	660615	530533	807639	211022	217534	186932	604609	116042	1	EAS	4542809
HG00673.h2	528688	783202	679058	585185	793969	253796	231155	220531	659307	108081	1	EAS	4842971
HG00673.h1	436215	548680	554569	440048	655252	192666	207291	175660	387739	105691	1	EAS	3703810
HG00732.h2	437469	778143	1031734	877866	842777	272234	231091	269172	685803	561102	8	AMR	5987390
HG00732.h1	675391	961495	856328	749437	793952	238585	210703	231767	808434	135219	4	AMR	5661310
HG00735.h1	532686	684519	729847	623280	494801	299716	176730	149537	558848	118206	4	AMR	4368169
HG00864.h2	481135	749098	652475	530490	840153	296662	244682	183109	691894	94422	1	EAS	4764119
HG00864.h1	379093	609985	715694	640021	603555	183531	163126	168234	442376	70018	8	EAS	3975632
HG01099.h2	487848	725449	705533	516286	717892	186578	193769	168190	509703	63845	6	AMR	4275092
HG01099.h1	636018	985293	1001145	934937	1008854	379283	309353	287883	758890	209644	4	AMR	6511299
HG01106.h1	610142	922432	787047	694626	780418	214102	261719	209356	636826	146089	4	AMR	5262756
HG01109.h2	494646	727151	709615	511530	720609	183518	190369	179414	512746	66527	6	AMR	4296124
HG01109.h1	142595	358333	473002	1298865	383323	311981	173309	112172	352264	33034	5	AMR	3638877
HG01114.h1	718917	1051596	933783	854134	932682	308871	254926	243024	790966	185609	4	AMR	6274507
HG01123.h2	642807	869740	950134	761265	774994	342569	207359	194423	633128	154142	4	AMR	5530560
HG01123.h1	614366	925875	846257	773186	1068725	324212	336487	194361	712995	145603	1	AMR	5942066
HG01175.h2	297670	564068	573021	611465	443226	238569	200523	183235	364648	90499	2	AMR	3566923
HG01175.h1	457946	655762	679026	513949	717892	214103	176760	179419	513110	60329	6	AMR	4168295
HG01243.h2	494647	650684	656587	499644	720596	195737	139374	149511	575034	62718	6	AMR	4144531
HG01243.h1	497410	725344	687199	632826	750575	250815	244705	183160	579292	130991	1	AMR	4682316
HG01258.h1	504236	711754	732020	666147	812975	250793	227734	220581	720143	100827	1	AMR	4947209
HG01352.h2	347887	652421	938052	537728	696012	235521	190322	224342	498022	64095	8	AMR	4384401
HG01352.h1	540813	774579	709546	566203	666151	186521	231074	168237	476236	114975	4	AMR	4434334
HG01358.h2	366852	655838	719819	566264	609065	171317	166522	172007	442744	69887	8	AMR	3940314
HG01358.h1	457991	796704	697355	670843	867425	235507	312679	220574	598135	157915	1	AMR	5015127
HG01361.h1	417214	584380	819721	532916	568361	260028	214090	186926	445675	15640	14	AMR	4044950
HG01457.h2	343746	557257	744299	644740	641669	220240	176700	142070	532159	64078	8	AMR	4066957
HG01457.h1	458025	611583	954235	599554	622686	321207	173291	164546	424805	42463	14	AMR	4372394
HG01505.h1	531303	745786	842123	739956	723325	269101	268540	198103	613914	135731	4	EUR	5067881
HG01573.h2	438980	774612	674946	670881	861970	244679	278666	179429	588107	156317	1	AMR	4868586
HG01573.h1	409071	591206	811535	535320	560175	272263	173316	149531	443984	19231	14	AMR	3965631
HG01596.h2	290753	470655	621951	478212	486687	104010	163144	194419	325456	63160	8	EAS	3198446
HG01596.h1	315206	528384	756510	623357	579123	149871	169938	138322	379542	101901	8	EAS	3742153
HG01890.h2	553032	477290	703220	442432	475764	238534	118944	108418	474175	98257	7	AFR	3690065
HG01890.h1	473016	732197	758415	554336	633602	278354	251477	138327	449947	66579	13	AFR	4336249
HG01928.h2	426732	601347	566870	511459	647146	226302	214094	183163	595907	119183	1	AMR	4092202
HG01928.h1	373766	597998	888974	582882	584631	272249	163088	168276	458420	33525	14	AMR	4123808
HG01978.h2	426727	648915	556666	478165	682471	247752	200522	164451	518926	130448	1	AMR	4055042
HG01978.h1	608820	823810	864479	761305	671596	333302	234551	209381	596698	136649	4	AMR	5240590
HG02004.h2	493322	727118	703493	561505	810316	223271	197152	213058	554279	66998	6	AMR	4550511
HG02004.h1	606028	834012	868538	751743	815747	269107	224312	145802	732687	152233	4	AMR	5400208
