Haplotype	4-mer	6-mer	8-mer	10-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1	680	17304	2041961	83111	34417	41263	1	EUR	2218735
CHM13	78865	599077	929521	283382	140119	215298	4	EUR	2246261
HG00096.h2	67259	984717	580587	47509	28322	196622	12	EUR	1905015
HG00096.h1	116825	1941714	731190	45812	24592	209505	12	EUR	3069637
HG00171.h2	138548	2245146	785433	52596	33423	288218	12	EUR	3543363
HG00171.h1	2038	16286	2298525	64430	29336	35594	1	EUR	2446208
HG002.h2	100531	1651555	664710	44112	25616	203354	12	EUR	2689877
HG002.h1	149356	1264253	633576	69569	49700	276781	8	EUR	2443234
HG00268.h1	103915	1882729	701341	45807	27648	233518	12	EUR	2994957
HG00358.h2	121570	898775	489776	55986	48341	232995	8	EUR	1847442
HG00358.h1	95857	1191039	2046375	273202	144690	222268	4	EUR	3973430
HG00438.h2	102577	1256693	993056	79738	47146	264636	13	EAS	2743845
HG005.h2	124261	1146211	549461	66162	54953	269308	8	EAS	2210355
HG00512.h2	98568	533888	842694	268106	88550	184861	4	EAS	2016666
HG00512.h1	11546	14263	2511846	66114	56299	40650	2	EAS	2700717
HG00513.h2	123590	1449484	511490	64475	38670	260879	8	EAS	2448587
HG00513.h1	132416	1507531	564400	61071	42740	264973	8	EAS	2573130
HG00621.h2	28547	53986	101757	5090	2036	227169	8	EAS	418584
HG00673.h1	178582	1205296	785520	61083	70728	251289	8	EAS	2552497
HG00731.h2	145274	1253098	586109	52597	53928	243358	8	AMR	2334363
HG00731.h1	104009	540983	845353	319011	123831	204771	4	AMR	2137957
HG00732.h2	680	21378	2191261	122122	34753	37917	1	AMR	2408110
HG00732.h1	129713	1442351	582015	64469	65648	277405	8	AMR	2561600
HG00735.h1	129019	1379246	508763	57669	38847	229186	9	AMR	2342729
HG00741.h2	99147	1228516	394785	44108	33921	173615	9	AMR	1974091
HG00864.h1	101293	561379	785720	325800	135885	139139	4	EAS	2049215
HG01071.h2	146632	948817	598298	54296	51219	131568	8	AMR	1930829
HG01071.h1	162196	728093	444972	40720	30011	356631	10	AMR	1762622
HG01099.h2	90954	855237	443609	47496	26966	183487	10	AMR	1647748
HG01106.h2	114115	1776780	758290	55993	39009	241720	12	AMR	2985906
HG01106.h1	120886	1153872	814030	59383	19674	188144	14	AMR	2355988
HG01114.h1	108661	1974342	647080	39023	33747	188809	12	AMR	2991661
HG01123.h2	50974	658160	970442	259631	102144	149989	5	AMR	2191339
HG01123.h1	164362	1749742	1362021	105190	63423	256975	13	AMR	3701712
HG01175.h1	74064	828889	614521	40716	28324	240264	12	AMR	1826777
HG01352.h2	82256	482927	671714	319021	138914	182725	4	AMR	1877556
HG01352.h1	139168	1274458	592893	62774	60888	278897	8	AMR	2409077
HG01457.h2	155435	1276531	580696	61081	52075	271311	8	AMR	2397128
HG01457.h1	86333	516545	708361	356352	168087	197326	4	AMR	2033003
HG01505.h2	139924	1694685	674254	72953	59202	229272	8	EUR	2870289
HG01505.h1	149403	1536095	671611	54286	64450	229243	8	EUR	2705087
HG01596.h2	69338	660223	823686	274900	117895	187775	4	EAS	2133816
HG01596.h1	149341	1398612	546748	69566	54782	245873	8	EAS	2464921
HG01890.h2	232719	1827456	780077	98395	42912	249714	10	AFR	3231272
HG01890.h1	111334	851193	379875	33937	37651	287219	10	AFR	1701208
HG01891.h2	120884	1082580	780106	57674	19337	246243	14	AFR	2306823
HG01891.h1	211692	1719549	780077	98395	42912	249713	10	AFR	3102337
HG01952.h2	126340	910464	995711	84829	64110	239438	13	AMR	2420891
HG01952.h1	121012	538953	854869	324094	141469	194946	4	AMR	2175342
HG01978.h1	69979	843117	571118	32215	12891	203426	12	AMR	1732745
HG02004.h2	141252	1454611	713617	86536	69037	354469	8	AMR	2819521
HG02004.h1	107421	644924	1058411	264702	148256	220553	4	AMR	2444266
HG02011.h2	50276	871070	1373512	295261	98231	119901	5	AFR	2808250
HG02011.h1	35339	1250145	1905297	234213	158713	181034	5	AFR	3764740
HG02018.h1	135908	1220566	1871731	364750	254673	119633	7	EAS	3967260
HG02059.h2	9508	17328	3379434	72885	33925	41961	2	EAS	3555040
HG02059.h1	129702	1593028	569810	78037	53939	250027	8	EAS	2674542
HG02071.h2	114096	1355754	518271	57696	77177	269001	8	EAS	2391994
HG02071.h1	104014	505347	841321	269810	89911	177059	4	EAS	1987461
HG02106.h2	101970	606207	887506	351264	146751	154066	4	AMR	2247763
HG02148.h2	98574	519589	763984	332575	150802	137935	4	AMR	2003458
HG02257.h1	95141	637348	789597	135679	70708	210941	10	AFR	1939413
HG02282.h2	79534	625585	928252	291860	125357	161663	4	AFR	2212250
HG02282.h1	122217	687296	411064	39019	37651	219435	10	AFR	1516681
HG02293.h2	95849	566484	842662	315616	124674	150672	4	AMR	2095956
HG02300.h2	174654	716220	1047612	425874	230875	81008	7	AMR	2676242
HG02492.h2	163121	753917	1019186	453002	253608	126437	7	SAS	2769270
HG02554.h2	95671	1063664	393415	39018	18151	222071	10	AFR	1831989
HG02554.h1	139822	1136066	569836	61079	43075	315483	8	AFR	2265360
HG02572.h2	6115	16274	1842233	225637	82215	89574	11	AFR	2262047
HG02587.h2	177981	1653733	998465	27146	33771	289179	14	AFR	3180274
HG02615.h2	89606	837900	469396	37319	26970	203158	10	AFR	1664348
HG02615.h1	72697	908244	580623	32215	13569	215277	12	AFR	1822624
HG02622.h1	108615	1028734	443576	18672	4246	334141	11	AFR	1937983
HG02647.h2	96487	839815	774674	145846	54093	279853	10	AFR	2190767
HG02666.h1	100504	1361899	428697	42411	36637	241794	9	AFR	2211941
HG02717.h2	122236	1304517	789596	50887	23239	175349	14	AFR	2465823
HG02769.h2	129710	1273995	815362	49196	18997	182141	14	AFR	2469400
HG02769.h1	125692	1126317	819374	27143	20362	311801	14	AFR	2430688
HG02809.h2	64569	673522	1023174	232479	96992	97918	4	AFR	2188653
HG02809.h1	95135	677581	993631	247767	118415	108010	6	AFR	2240538
HG02886.h2	74736	1000231	986316	66162	39514	228845	12	AFR	2395803
HG02953.h2	93825	629650	1149334	302005	111101	229727	4	AFR	2515641
HG02953.h1	127617	959122	390730	44113	31544	281159	10	AFR	1834284
HG03009.h2	153438	1117756	682441	57690	51565	323940	8	SAS	2386829
HG03009.h1	177971	1276978	1337607	55970	32567	195906	12	SAS	3076998
HG03065.h2	89709	495194	1047493	142490	25957	78061	5	AFR	1878903
HG03065.h1	52320	863989	1494295	285061	98237	140204	5	AFR	2934105
HG03098.h2	96506	676564	948861	278296	106548	101627	6	AFR	2208401
HG03098.h1	101842	1222273	617358	57690	21366	276144	11	AFR	2296672
HG03248.h2	113414	1090719	774671	59372	18320	174699	14	AFR	2231194
HG03248.h1	91694	1254074	428698	44108	37487	182396	9	AFR	2038456
HG03371.h2	34652	42748	2069096	94976	46479	93165	3	AFR	2381115
HG03371.h1	88966	1201103	352720	32238	41211	191650	9	AFR	1907887
HG03452.h2	103909	1028065	423279	49202	33581	194365	9	AFR	1832400
HG03456.h2	101257	670436	999084	246058	106212	102438	6	AFR	2225484
HG03456.h1	69995	2172058	1324898	117120	12574	205952	10	AFR	3902596
HG03486.h2	97178	659239	978717	261339	106881	89683	6	AFR	2193036
HG03486.h1	106648	765618	493840	42419	27481	205203	10	AFR	1641208
HG03492.h2	10868	14275	3365863	44101	24427	22037	2	SAS	3481570
HG03516.h2	99828	950716	417854	39027	31887	169430	9	AFR	1708741
HG03516.h1	55720	745803	1227048	230770	79399	127548	5	AFR	2466287
HG03520.h2	37378	1251189	1894377	237609	170928	180909	5	AFR	3772389
HG03520.h1	109353	1275456	470756	16971	14590	210430	9	AFR	2097555
HG03540.h2	107317	1276041	842448	42426	11529	238408	14	AFR	2518168
HG03540.h1	105261	822676	512818	47506	26627	182323	10	AFR	1697210
HG03579.h2	112750	1295472	1029652	64456	44271	243846	12	AFR	2790446
HG03683.h2	158924	1347857	761132	72951	53089	350699	8	SAS	2744651
HG03683.h1	129036	1348733	639053	52594	70383	292006	8	SAS	2531804
HG03732.h2	90421	571514	871206	296949	108899	149487	4	SAS	2088475
HG03732.h1	194266	1702037	876519	76342	64274	245222	8	SAS	3158659
HG03807.h2	163700	1655046	795040	96712	81922	261175	8	SAS	3053594
HG03807.h1	162311	1350919	675662	72961	54614	266231	8	SAS	2582697
HG03927.h1	157688	901702	1537735	298617	161164	71769	7	SAS	3128674
HG04036.h2	132420	1538148	634958	67870	65125	218766	8	SAS	2657286
HG04036.h1	78183	445243	757174	229046	108374	195504	4	SAS	1813523
HG04217.h2	131700	1459659	416525	28841	26120	233010	8	SAS	2295854
HG04217.h1	131095	988409	668892	76359	73441	232766	8	SAS	2170961
NA18534.h2	112069	1294670	541313	50908	78874	183522	8	EAS	2261355
NA18534.h1	169045	1851447	636297	45810	48678	235721	8	EAS	2986997
NA18939.h1	158280	1407513	1241335	72944	41885	229010	12	EAS	3150966
NA18989.h2	101896	1325987	1021567	91615	56300	271094	13	EAS	2868458
NA18989.h1	197803	803831	1163012	451294	239509	106387	7	EAS	2961835
NA19036.h2	144639	1231963	569824	39019	37305	322262	10	AFR	2345011
NA19036.h1	75465	689674	807379	229024	35961	74956	5	AFR	1912458
NA19129.h2	106727	58035	2269863	154337	32557	49328	3	AFR	2670846
NA19129.h1	101860	1004908	506039	30539	35273	201797	10	AFR	1880415
NA19238.h2	97128	1003674	398831	40722	48846	186509	9	AFR	1775709
NA19238.h1	160232	824801	648458	37326	25614	210969	10	AFR	1907399
NA19239.h2	87671	661284	1005910	261360	75329	97695	6	AFR	2189248
NA19239.h1	67287	823257	1148212	359810	104164	109617	5	AFR	2612346
NA19317.h2	77486	1017882	1449735	393696	144540	68636	5	AFR	3151974
NA19317.h1	99172	1095788	957696	108569	33920	268379	13	AFR	2563523
NA19331.h1	121606	893765	675643	44106	37137	252040	9	AFR	2024296
NA19347.h2	151333	992777	369031	35635	37311	295977	10	AFR	1882063
NA19347.h1	93138	772278	1187308	329171	172852	245183	4	AFR	2799929
NA19384.h2	15625	31561	1550876	30520	28507	22772	11	AFR	1679860
NA19384.h1	55057	711173	1121265	188381	88737	148859	5	AFR	2313471
NA19650.h2	91776	676516	997405	344497	127928	188485	4	AMR	2426606
NA19650.h1	116828	1866357	709479	49206	32730	203892	12	AMR	2978491
NA19705.h2	65928	802869	1074936	290199	105190	112058	5	AFR	2451179
NA19705.h1	120217	1438322	514178	39018	34262	202408	9	AFR	2348404
NA19836.h1	135830	1502539	658011	71259	69535	250315	8	AFR	2687488
NA19983.h2	72679	1045922	568461	33919	18998	156888	14	AFR	1896866
NA19983.h1	65249	675533	947360	224024	90954	109336	5	AFR	2112455
NA20129.h2	112077	1752374	724400	50898	25780	204438	12	AFR	2869966
NA20355.h2	99846	966465	752938	42419	16960	188387	12	AFR	2067014
NA20355.h1	93058	747310	474847	35630	33240	226398	10	AFR	1610482
NA20509.h2	2040	15273	2107049	59351	27300	27843	1	EUR	2238855
NA20509.h1	112061	1061687	573907	49202	47825	197403	8	EUR	2042084
NA20847.h2	93815	717297	1146685	325802	133487	186464	4	SAS	2603549
NA20847.h1	131007	1011812	548129	57690	45461	220114	8	SAS	2014212
NA21309.h2	91774	631685	1008267	322378	118551	165379	4	AFR	2338033
NA21309.h1	114843	509485	898656	167973	93298	107070	7	AFR	1891324
NA21487.h2	97057	767572	396141	39020	28159	240251	10	AFR	1568199
NA21487.h1	90416	77380	2740709	242527	35270	59421	3	AFR	3245722
