Haplotype	5-mer	7-mer	11-mer	15-mer	19-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1	32337	65447	2009858	293159	54904	40961	48732	13	EUR	2545397
CHM13	2550	830513	1037450	61182	6456	9007	13109	10	EUR	1960266
HG00096.h2	2548	824590	936483	40787	3228	10703	13106	10	EUR	1831444
HG00171.h2	39144	17845	1099269	196334	87206	25995	38458	2	EUR	1504250
HG002.h2	0	569942	695350	17838	0	6285	9467	10	EUR	1298881
HG00268.h1	9360	17841	891776	22946	0	27021	26207	13	EUR	995150
HG00358.h1	17868	19044	596503	68848	71060	33657	40324	2	EUR	847303
HG00438.h2	133595	302317	1727586	1007141	54907	237962	39083	5	EAS	3502590
HG005.h1	22125	23795	977806	150433	64588	14958	31860	2	EAS	1285564
HG00512.h2	37442	39260	1232045	270226	109808	24480	38802	2	EAS	1752062
HG00513.h2	49358	23800	1286247	155538	87213	13767	30863	2	EAS	1646785
HG00513.h1	29784	20219	1140464	211615	74285	5099	35584	2	EAS	1517049
HG00621.h2	39994	20223	1039524	152989	67824	17853	14818	2	EAS	1353224
HG00673.h2	34889	26166	1007706	214162	93667	11899	35591	2	EAS	1424079
HG00731.h2	39145	46394	1232088	170845	96898	31103	28318	2	AMR	1644790
HG00732.h2	49355	21415	962820	191231	41987	39445	32559	3	AMR	1338811
HG00741.h2	17017	15469	523573	81600	48454	26007	30866	2	AMR	742985
HG00741.h1	65511	27367	1333033	201422	125964	15977	33389	2	AMR	1802662
HG00864.h1	85950	17849	1131088	262623	48447	54918	32556	3	EAS	1633430
HG01071.h2	40845	49954	1002188	142786	100128	21928	29002	2	AMR	1386830
HG01099.h2	64667	227400	957268	367138	22609	224166	40814	4	AMR	1904061
HG01114.h2	3400	854330	988844	35689	3228	8494	13106	10	AMR	1907090
HG01123.h1	37443	21416	790845	158081	48442	8669	32157	2	AMR	1097052
HG01175.h2	62973	29743	1273233	239665	106588	33148	7380	2	AMR	1752729
HG01258.h2	45950	32125	1058186	216720	41991	28040	24954	2	AMR	1447965
HG01258.h1	23824	21420	1046962	186131	64600	19551	34138	2	AMR	1396625
HG01352.h2	22972	16659	628317	73950	83985	28388	30862	2	AMR	885132
HG01352.h1	44244	61848	1112382	168284	106590	8662	30862	2	AMR	1532871
HG01358.h2	14460	14284	473109	58651	16148	15645	30866	2	AMR	623162
HG01358.h1	134447	329759	1995200	772602	109821	550918	30271	5	AMR	3923017
HG01361.h2	15315	13083	635664	94331	19373	19032	38464	2	AMR	835261
HG01457.h2	38293	24986	1177906	160634	64598	10371	36773	2	AMR	1513560
HG01457.h1	37442	19032	1067593	145332	58139	8159	32047	2	AMR	1367743
HG01505.h2	86783	35686	1536767	295745	87205	28897	38817	2	EUR	2109899
HG01505.h1	45100	20231	1301167	191249	100128	16150	25445	2	EUR	1699469
HG01573.h2	71459	21417	1387259	201425	142111	13598	38106	2	AMR	1875374
HG01573.h1	44246	22605	1121708	165739	58137	15462	33063	2	AMR	1460959
HG01596.h2	22974	26171	977788	206500	61365	19379	37272	2	EAS	1351448
HG01890.h2	68931	29743	1607976	283038	48447	41146	21429	3	AFR	2100709
HG01890.h1	368442	108343	1425020	163197	100133	242102	75891	9	AFR	2483127
HG01928.h2	57005	23797	1235830	188667	87207	12066	42174	2	AMR	1646745
HG01928.h1	29783	28557	846933	107090	38754	24136	30862	2	AMR	1106114
HG01978.h1	47654	28562	1069426	239649	61371	15128	21468	2	AMR	1483257
HG02004.h1	51058	20225	998361	191232	54907	35024	29683	3	AMR	1380489
HG02011.h1	52750	82083	1077021	553316	113097	105886	96457	13	AFR	2080609
HG02018.h2	45101	24980	1138465	196329	54908	19212	22137	2	EAS	1501131
HG02055.h1	22104	77285	1875222	127478	9690	52684	35746	7	AFR	2200208
HG02059.h2	68928	16659	1104945	254983	77516	31624	39495	3	EAS	1594149
HG02059.h1	45947	17851	929216	175936	54909	3569	30866	2	EAS	1258293
HG02071.h2	120831	266607	1626579	928089	119496	280773	43818	5	EAS	3386192
HG02071.h1	17866	22612	602113	53546	64600	30597	40324	2	EAS	831657
HG02106.h2	36590	21420	1187269	152983	64599	7479	41842	2	AMR	1512181
HG02106.h1	22120	16662	546025	79050	54911	26688	30862	2	AMR	776317
HG02145.h1	17003	82036	1456489	107086	6461	49279	29190	7	AFR	1747543
HG02148.h1	74015	23792	1432174	196325	167954	16155	35593	2	AMR	1946007
HG02257.h2	200809	63056	2330219	219296	80756	137109	31265	13	AFR	3062509
HG02257.h1	26341	34468	951630	99437	19380	44706	62081	6	AFR	1238042
HG02282.h2	24640	38039	1024528	107089	19380	49800	58394	6	AFR	1321869
HG02282.h1	46807	24979	1099282	178486	51678	21593	26980	2	AFR	1449804
HG02293.h2	57014	23795	1103052	242214	51676	52197	36610	3	AMR	1566557
HG02293.h1	29781	33316	1011436	234536	58133	8159	20534	2	AMR	1395894
HG02300.h2	57014	24984	1078780	226925	45217	57469	32557	3	AMR	1522945
HG02300.h1	48504	32135	1127389	232005	61370	21761	24954	2	AMR	1548117
HG02486.h1	72335	29747	1538647	295792	45219	42668	23052	3	AFR	2047459
HG02492.h2	22973	13089	912368	163183	32298	21589	28668	2	SAS	1194167
HG02554.h2	85946	41666	1627276	249905	51685	69027	33841	1	AFR	2159345
HG02554.h1	110610	44053	607853	45896	25840	85497	73055	9	AFR	992803
HG02587.h2	50992	152171	2248841	530359	19379	142947	72212	7	AFR	3216900
HG02587.h1	59564	178577	916112	316167	16149	150274	37588	4	AFR	1674430
HG02615.h2	77435	35704	1374765	196374	41992	53559	41101	1	AFR	1820929
HG02615.h1	120831	235733	1823258	828672	38754	441647	43090	5	AFR	3531984
HG02630.h2	137844	251154	1706877	963812	129188	326191	31793	5	AFR	3546858
HG02647.h2	174440	70253	1069775	76507	51678	158932	74903	9	AFR	1676487
HG02647.h1	165932	69062	1008049	71409	54909	158425	78434	9	AFR	1606219
HG02666.h2	443334	111915	1557773	198899	122743	245669	73696	9	AFR	2754028
HG02666.h1	25487	46391	908653	96889	25836	54225	71787	6	AFR	1229267
HG02769.h2	65521	30948	1384076	173424	38761	51855	41109	1	AFR	1785693
HG02769.h1	70633	23786	1546121	300872	54909	28896	29803	3	AFR	2055019
HG02809.h2	86792	51199	2052215	290707	42008	80912	33230	1	AFR	2637062
HG02809.h1	91901	40470	1632884	344278	58155	73450	39800	1	AFR	2280937
HG02886.h2	69781	208266	1176404	316194	25837	256220	40610	11	AFR	2093311
HG02953.h1	69768	194027	1304954	362080	54907	258202	38439	4	AFR	2282376
HG03009.h2	11053	16660	1649323	43351	0	33980	24201	12	SAS	1778567
HG03009.h1	1700	826956	942076	43337	3228	7640	14930	10	SAS	1839866
HG03065.h2	34884	214211	1009967	188701	6460	222720	35238	11	AFR	1712180
HG03065.h1	131888	54778	617203	66298	35529	88058	96958	9	AFR	1090711
HG03098.h2	69779	229738	1451189	474272	61367	488003	20998	5	AFR	2795345
HG03248.h2	54458	21415	581491	221845	106576	48461	13524	2	AFR	1047769
HG03248.h1	220386	89270	809875	51008	3234	95929	114555	8	AFR	1384256
HG03371.h2	61182	123611	1347975	181028	19376	128668	27043	6	AFR	1888882
HG03371.h1	116577	42871	544261	56096	32298	104536	84436	9	AFR	981074
HG03452.h2	65513	29745	931454	341741	83993	91128	40778	1	AFR	1584351
HG03456.h2	213584	72611	787410	38255	6467	79599	91941	8	AFR	1289866
HG03456.h1	66365	180963	983452	334033	41982	201244	32852	4	AFR	1840890
HG03486.h1	117423	64293	604117	63743	48447	112531	120245	9	AFR	1130798
HG03492.h1	22122	16659	579691	73950	51681	26178	32709	2	SAS	802989
HG03516.h1	72334	35684	1961016	405406	83974	29413	22656	3	AFR	2610482
HG03520.h1	67216	186888	1284351	385033	58136	227602	39620	4	AFR	2248845
HG03540.h2	153151	41673	645245	58644	32299	148388	78523	9	AFR	1157922
HG03540.h1	1701	49935	814654	152929	16155	71867	19763	13	AFR	1127003
HG03683.h1	849	138023	295349	17845	0	0	13851	10	SAS	465916
HG03710.h2	34891	22610	1198437	203976	125963	28729	37285	2	SAS	1651890
HG03732.h2	40843	29742	1149839	198885	109815	18349	39366	2	SAS	1586838
HG03807.h1	32337	21415	1222552	262615	135660	27368	33058	2	SAS	1735004
HG04217.h2	33187	26185	1157132	173384	19371	29055	38461	2	SAS	1476774
HG04228.h1	27225	17849	1104968	165723	77520	20054	30861	2	SAS	1444199
NA18534.h2	51055	39257	1465729	244765	138885	31260	53114	2	EAS	2024064
NA18534.h1	114873	413055	2025202	683333	80744	497004	63111	5	EAS	3877321
NA18906.h1	20424	3570	272936	328895	25828	5951	39766	5	AFR	697369
NA18939.h2	37443	17846	1424479	224375	38753	35680	41946	2	EAS	1820521
NA18989.h2	54461	21415	987132	219285	45217	43010	32557	3	EAS	1403076
NA18989.h1	39986	21422	974060	173373	71053	13937	38465	2	EAS	1332295
NA19036.h2	33185	77345	1441610	443670	83989	171141	50884	13	AFR	2301823
NA19036.h1	74027	65439	717832	104537	0	49127	38443	13	AFR	1049404
NA19238.h2	11902	11898	983598	33147	0	18190	39374	12	AFR	1098108
NA19238.h1	51846	89148	1388900	239690	12920	117619	60670	7	AFR	1960792
NA19239.h2	22099	73716	1871484	122377	9690	46397	34765	7	AFR	2180527
NA19317.h2	329317	60709	1157798	20401	3230	105464	43327	8	AFR	1720245
NA19317.h1	13605	10716	1468081	35701	3230	49301	232159	12	AFR	1812792
NA19331.h2	202512	59523	766854	35705	3234	89123	117109	8	AFR	1274059
NA19331.h1	250176	53564	1004394	22952	9690	87932	124183	8	AFR	1552890
NA19347.h2	55309	70221	570213	362055	19379	15304	35393	4	AFR	1127873
NA19347.h1	17871	3570	235548	270266	16138	5951	44835	5	AFR	594178
NA19384.h1	268896	53561	1039931	22952	9690	85550	126379	8	AFR	1606958
NA19650.h1	34880	17851	1306885	160637	67826	25841	30862	2	AMR	1644781
NA19705.h2	222940	36877	1804671	262639	64599	107399	32781	13	AFR	2531905
NA19983.h2	62967	190422	1101530	349328	9684	244968	43162	11	AFR	2002060
NA19983.h1	40842	211837	1060453	265206	9690	249221	38054	11	AFR	1875302
NA20129.h1	71469	175000	1003988	425816	38758	182035	27245	4	AFR	1924310
NA20355.h2	62967	27365	1032449	313691	77530	95888	40772	1	AFR	1650661
NA20355.h1	399931	119068	1531616	165750	109820	217619	91757	9	AFR	2635560
NA20509.h2	43400	27367	1246987	211626	142112	29064	490126	2	EUR	2190681
NA20509.h1	39992	26166	1073121	229482	67823	21417	27377	2	EUR	1485377
NA20847.h2	13609	14281	501155	58651	12918	15645	30864	2	SAS	647122
NA20847.h1	38289	22610	1202046	188665	38750	36871	35263	2	SAS	1562493
NA21309.h2	25490	28524	1097434	94340	22610	47594	55528	6	AFR	1371519
NA21309.h1	102108	44036	1649765	349368	80769	105401	40773	1	AFR	2372219
