Haplotype	8-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1	1925272	46898	23727	9	EUR	1995896
CHM13	2829683	74133	16813	13	EUR	2920628
HG00096.h1	2711032	47719	18370	13	EUR	2777120
HG00171.h2	3976607	61184	16889	13	EUR	4054679
HG00171.h1	3754809	116937	21834	1	EUR	3893579
HG002.h2	2329772	22833	13570	5	EUR	2366174
HG002.h1	2382043	117121	25688	9	EUR	2524851
HG00268.h2	2333092	92899	19767	9	EUR	2445757
HG00358.h2	2113676	53520	11151	13	EUR	2178346
HG00358.h1	2916978	37667	19526	13	EUR	2974170
HG00438.h2	3102936	38207	24308	5	EAS	3165450
HG00438.h1	2382876	50445	11007	1	EAS	2444327
HG00512.h2	2492746	121028	22894	9	EAS	2636667
HG00513.h2	4432568	68160	8560	4	EAS	4509287
HG00621.h2	2831107	55952	30553	11	EAS	2917611
HG00673.h1	2761275	93919	34151	9	EAS	2889344
HG00731.h2	2784612	45846	29208	13	AMR	2859665
HG00731.h1	2379348	92890	22082	9	AMR	2494319
HG00732.h2	2362919	81648	18590	9	AMR	2463156
HG00732.h1	1940297	55411	22192	9	AMR	2017899
HG00735.h1	2313811	96808	19591	9	AMR	2430209
HG00864.h2	3983797	64745	6820	4	EAS	4055361
HG00864.h1	2563756	54379	15622	13	EAS	2633756
HG01071.h1	2217155	103455	19317	9	AMR	2339926
HG01099.h2	3877434	104470	12254	1	AMR	3994157
HG01099.h1	2929149	45677	23620	13	AMR	2998445
HG01114.h2	2324697	100049	15495	9	AMR	2440240
HG01114.h1	2907434	44490	19699	13	AMR	2971622
HG01352.h2	3530530	72835	42940	11	AMR	3646304
HG01352.h1	2738330	58631	13611	13	AMR	2810571
HG01361.h1	3604160	74535	43720	11	AMR	3722414
HG01457.h2	2774790	159346	35845	9	AMR	2969980
HG01457.h1	3495541	74477	5772	4	AMR	3575789
HG01505.h2	2600383	122555	21015	9	EUR	2743952
HG01505.h1	1945899	49600	14107	13	EUR	2009605
HG01573.h2	3619826	50511	40731	5	AMR	3711067
HG01573.h1	3702374	72660	40823	11	AMR	3815856
HG01596.h2	3634671	24194	15410	4	EAS	3674274
HG01890.h1	2417014	127594	12790	6	AFR	2557397
HG01928.h2	2552595	143164	25764	9	AMR	2721522
HG02004.h1	2702618	150812	33468	9	AMR	2886897
HG02011.h2	2774124	22145	21359	5	AFR	2817627
HG02011.h1	3044222	49850	37727	8	AFR	3131798
HG02018.h2	3829385	97313	22691	1	EAS	3949388
HG02018.h1	2446318	116915	26779	9	EAS	2590011
HG02055.h1	2657002	43795	11862	3	AFR	2712658
HG02071.h2	2598787	122191	23386	9	EAS	2744363
HG02071.h1	3085013	26590	3775	4	EAS	3115377
HG02080.h2	1850422	33953	38188	11	EAS	1922562
HG02080.h1	2435167	92550	19302	9	EAS	2547018
HG02106.h2	2526632	149113	33390	9	AMR	2709134
HG02145.h2	731945	8545	5278	7	AFR	745767
HG02257.h1	2794201	58792	9976	12	AFR	2862968
HG02282.h2	3358913	55562	30505	3	AFR	3444979
HG02293.h2	2764683	24052	20534	5	AMR	2809268
HG02300.h2	4136642	155716	30809	1	AMR	4323166
HG02300.h1	3356597	36507	24826	5	AMR	3417929
HG02492.h1	3329088	64921	3588	4	SAS	3397596
