Haplotype	4-mer	7-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1	1159248	1233422	89919	45685	4	EUR	2528273
CHM13	1202108	1295422	93838	37923	4	EUR	2629290
HG00096.h2	1159921	1247807	50366	46930	6	EUR	2505023
HG00171.h2	438513	544566	27930	9920	4	EUR	1020928
HG00171.h1	1053878	1140455	90902	19645	4	EUR	2304879
HG002.h2	1079757	1165551	70680	37011	4	EUR	2352998
HG002.h1	1008993	1082074	75439	38608	4	EUR	2205113
HG00268.h2	2367530	2308596	103520	113468	6	EUR	4893113
HG00268.h1	851899	1016460	108479	48091	4	EUR	2024928
HG00358.h2	2097559	2314364	133868	64489	7	EUR	4610279
HG00358.h1	470467	583892	29801	11837	4	EUR	1095996
HG00438.h2	1947970	2078413	144455	41736	8	EAS	4212573
HG00438.h1	1393128	1646989	111920	37242	1	EAS	3189278
HG005.h2	1135425	1121382	98598	33000	5	EAS	2388404
HG00512.h2	1450294	1704262	91731	27899	1	EAS	3274185
HG00512.h1	1342827	1585054	89806	39292	1	EAS	3056978
HG00513.h1	1334003	1560004	87506	32754	1	EAS	3014266
HG00621.h2	994015	1103544	86497	35478	4	EAS	2219533
HG00673.h2	1196683	1217947	96376	27519	4	EAS	2538524
HG00731.h2	2018710	2002289	78488	92869	6	AMR	4192355
HG00731.h1	1943723	2195474	126374	23835	3	AMR	4289405
HG00735.h2	1195320	1345499	106751	40831	4	AMR	2688400
HG00735.h1	1200766	1276405	84625	38964	4	AMR	2600759
HG00741.h2	1174928	1244222	99947	36467	4	AMR	2555563
HG00864.h2	1223809	1471877	94811	22973	1	EAS	2813469
HG01071.h1	1123905	1210814	89728	36673	4	AMR	2461119
HG01099.h2	424238	562406	52300	31027	4	AMR	1069970
HG01099.h1	688745	753151	47177	24051	4	AMR	1513123
HG01106.h2	1252441	1334839	69804	44752	4	AMR	2701835
HG01106.h1	1112364	1197665	90396	21683	4	AMR	2422107
HG01114.h2	2339003	2197849	62996	95462	6	AMR	4695309
HG01114.h1	1293844	1251291	52807	48840	7	AMR	2646781
HG01123.h2	1018527	1103555	90092	35210	4	AMR	2247383
HG01175.h2	1253766	1482595	74788	35247	1	AMR	2846395
HG01243.h2	1831111	1800837	103721	57513	4	AMR	3793181
HG01352.h2	1257884	1308648	70819	54804	6	AMR	2692154
HG01352.h1	1964974	2126145	148856	48319	8	AMR	4288293
HG01358.h2	1127314	1188159	99953	41949	4	AMR	2457374
HG01358.h1	1522943	1622036	105949	33342	8	AMR	3284269
HG01361.h1	1499261	1565960	115447	48525	4	AMR	3229192
HG01505.h2	683961	781797	32356	24626	4	EUR	1522739
HG01505.h1	1242921	1266925	72687	57179	6	EUR	2639711
HG01573.h1	1548801	1806750	137948	30475	1	AMR	3523973
HG01596.h2	1363879	1400337	92651	28216	8	EAS	2885082
HG01890.h2	1257212	1393268	61942	29400	3	AFR	2741821
HG01890.h1	692767	804369	42543	54963	9	AFR	1594641
HG01928.h2	1470028	1436108	102011	39791	4	AMR	3047937
HG01952.h2	2026147	2234591	209985	77606	8	AMR	4548328
HG01952.h1	1003518	1117838	49032	39222	4	AMR	2209609
HG02004.h2	1759670	1749566	105588	47396	4	AMR	3662219
HG02004.h1	2154730	2131077	193985	76587	8	AMR	4556378
HG02011.h2	1100062	1316971	73979	28576	3	AFR	2519587
HG02011.h1	1380908	1411055	112571	41621	5	AFR	2946154
HG02018.h2	921985	1015393	67908	42891	6	EAS	2048176
HG02018.h1	1331301	1334792	85302	37351	4	EAS	2788745
HG02055.h1	1038909	1066546	55868	25379	7	AFR	2186701
HG02059.h2	1238145	1341937	77464	31824	6	EAS	2689369
HG02059.h1	1269967	1475503	84154	30869	3	EAS	2860492
HG02071.h2	1348257	1457576	89368	46122	6	EAS	2941322
HG02071.h1	1590337	1803149	118540	15296	1	EAS	3527321
HG02080.h1	1299309	1533805	85985	28074	1	EAS	2947172
HG02106.h2	1652829	1743613	128100	60157	8	AMR	3584698
HG02106.h1	1621676	1662571	57703	76076	6	AMR	3418025
HG02109.h2	647266	799599	55844	19071	4	AFR	1521779
HG02145.h1	560886	641120	37296	25073	4	AFR	1264374
HG02148.h2	1017871	1120265	94500	32735	4	AMR	2265370
HG02257.h2	1223148	1263234	75455	37766	5	AFR	2599602
HG02282.h2	1526372	1592233	75767	46270	5	AFR	3240641
HG02282.h1	843690	1096323	69091	27917	10	AFR	2037020
HG02293.h2	443972	548120	45654	29029	4	AMR	1066774
HG02293.h1	1587550	1440793	66257	30408	5	AMR	3125007
HG02300.h2	2389955	2494460	192271	59734	8	AMR	5136419
HG02300.h1	2127398	2265598	158865	49522	8	AMR	4601382
HG02486.h1	559485	809020	53914	34703	11	AFR	1457121
HG02492.h2	1042359	1147661	71702	33683	4	SAS	2295404
HG02492.h1	1908514	2078445	147467	42617	8	SAS	4177042
HG02554.h2	974953	1088013	52067	43908	9	AFR	2158940
HG02554.h1	1083708	1129733	75099	28459	5	AFR	2316998
HG02559.h2	983705	1191659	78783	30963	10	AFR	2285109
HG02559.h1	1221805	1222759	85789	102599	12	AFR	2632951
HG02572.h1	1077025	1165592	69460	26785	4	AFR	2338861
HG02587.h2	1053189	1289439	66102	23037	2	AFR	2431766
HG02615.h1	654023	890067	94584	35716	11	AFR	1674389
HG02622.h2	1231981	1534965	68947	62795	7	AFR	2898687
HG02630.h2	1105503	1127376	60806	40517	5	AFR	2334201
HG02630.h1	1149071	1291737	85826	27906	2	AFR	2554539
HG02647.h1	678492	819854	46645	40164	9	AFR	1585154
HG02666.h2	1414803	1326361	77790	21185	5	AFR	2840138
HG02666.h1	916401	1097485	82868	32500	10	AFR	2129253
HG02717.h2	1433927	1550418	161748	64867	4	AFR	3210959
HG02769.h2	1601832	1525499	77306	42369	5	AFR	3247005
HG02769.h1	1629093	1668535	78138	40989	5	AFR	3416754
HG02809.h2	843693	1077258	66177	24944	10	AFR	2012071
HG02809.h1	703658	884214	76319	22041	5	AFR	1686231
HG02886.h1	1092556	1122612	77796	117519	12	AFR	2410482
HG02953.h2	386157	482613	14964	12074	10	AFR	895807
HG02953.h1	1262599	1262073	61150	33693	5	AFR	2619514
HG03009.h2	1251739	1355033	90750	32162	4	SAS	2729683
HG03009.h1	2262802	2567034	249082	45426	8	SAS	5124343
HG03098.h1	1582906	1655303	39828	50901	7	AFR	3328937
HG03248.h2	1266658	1366924	75928	35205	5	AFR	2744714
HG03248.h1	1176295	1519458	49460	26587	2	AFR	2771799
HG03371.h2	1077625	1306241	74498	31284	3	AFR	2489647
HG03371.h1	810409	927198	55805	12918	10	AFR	1806329
HG03452.h2	991934	1036791	85114	81968	12	AFR	2195806
HG03452.h1	927332	1023634	86355	44994	5	AFR	2082314
HG03456.h2	1297285	1535031	72581	32696	1	AFR	2937592
HG03456.h1	1270756	1415746	117489	39649	7	AFR	2843639
HG03486.h2	1077514	1160826	105734	79001	12	AFR	2423074
HG03486.h1	859425	1162013	25497	42714	3	AFR	2089648
HG03492.h2	1256498	1359801	65011	44079	6	SAS	2725388
HG03492.h1	1317020	1381247	128720	51479	4	SAS	2878465
HG03516.h2	779769	1035490	142684	37266	4	AFR	1995208
HG03516.h1	1623662	1967592	80786	34439	2	AFR	3706478
HG03520.h1	1034174	1201355	47433	9886	3	AFR	2292847
HG03540.h2	1240797	1283489	82095	29631	5	AFR	2636011
HG03579.h2	624099	748308	49859	48508	9	AFR	1470773
HG03710.h2	1465210	1737609	113238	45264	1	SAS	3361320
HG03710.h1	1287756	1505201	85303	29950	1	SAS	2908209
HG03807.h1	1576759	1678016	147677	9187	8	SAS	3411638
HG03927.h2	2287349	2363290	67242	80497	6	SAS	4798377
HG03927.h1	1907820	2076054	153597	47545	8	SAS	4185015
HG04036.h1	828791	912827	96892	44081	4	SAS	1882590
HG04217.h2	803607	972393	61631	31814	6	SAS	1869444
HG04217.h1	1486307	1662527	90448	21271	8	SAS	3260552
HG04228.h2	1260553	1477798	75750	25882	1	SAS	2839982
NA12329.h2	1508082	1550525	72348	67395	6	EUR	3198349
NA12329.h1	1567833	1823575	100993	26239	3	EUR	3518639
NA18534.h2	1248435	1258663	26397	58721	6	EAS	2592215
NA18534.h1	1358485	1633924	94754	35201	1	EAS	3122363
NA18939.h2	1922797	2241655	204699	40795	8	EAS	4409945
NA18939.h1	1644077	1977127	104969	32479	1	EAS	3758651
NA18989.h2	1374745	1583921	63622	31417	3	EAS	3053704
NA18989.h1	1149013	1154732	76985	42298	5	EAS	2423027
NA19036.h1	2150643	2188222	70659	51492	5	AFR	4461015
NA19129.h2	677121	907950	89843	42570	11	AFR	1717483
NA19129.h1	676436	927010	89863	47295	11	AFR	1740603
NA19238.h2	1219780	1358600	75099	37105	1	AFR	2690583
NA19238.h1	1499280	1506440	47666	34533	7	AFR	3087918
NA19239.h2	729490	868706	73213	53783	9	AFR	1725191
NA19239.h1	1761716	2053538	80443	42431	3	AFR	3938127
NA19317.h2	1797091	1737641	72325	54588	7	AFR	3661644
