Haplotype	4-mer	6-mer	8-mer	10-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1	713933	692035	1428022	283591	181294	62688	3	EUR	3361562
CHM13	1106577	178356	1101854	106989	34989	28898	5	EUR	2557662
HG00171.h2	754079	1058467	2330194	259810	307427	42658	1	EUR	4752634
HG00171.h1	1212679	219137	1278444	125643	36347	2699	5	EUR	2874948
HG002.h2	501982	676592	1892716	185081	283288	48962	1	EUR	3588620
HG002.h1	1367669	2408966	4797918	283544	584024	43465	1	EUR	9485585
HG00268.h2	577457	884440	1763688	151100	333013	25053	1	EUR	3734750
HG00268.h1	640652	1007666	1358694	164705	305850	25730	1	EUR	3503296
HG00358.h2	1141551	220161	1740041	122252	74220	12196	2	EUR	3310420
HG00358.h1	546874	822163	1779994	186792	309323	39932	1	EUR	3685077
HG00513.h2	223601	403612	1111551	106961	127795	35770	1	EAS	2009289
HG00513.h1	1140199	254763	1764596	154525	85944	12803	2	EAS	3412829
HG00621.h2	968884	193653	1452194	81509	64202	6779	2	EAS	2767220
HG00673.h1	1230313	221155	1152116	108682	38220	681	5	EAS	2751166
HG00731.h2	1300685	251761	1947992	163018	104788	8472	2	AMR	3776715
HG00731.h1	694849	546331	760846	241168	171408	58367	3	AMR	2472968
HG00741.h2	1139527	222190	1692533	123966	49250	7609	2	AMR	3235074
HG00864.h2	320087	582936	1394156	156223	201853	31859	1	EAS	2687113
HG01071.h2	1083096	212013	1727891	106988	65206	8470	2	AMR	3203663
HG01071.h1	648101	815970	1325953	147711	193602	48059	1	AMR	3179395
HG01099.h2	608670	819171	1913132	186780	225565	48401	1	AMR	3801718
HG01099.h1	387266	648047	1808501	232639	248000	34707	1	AMR	3359159
HG01109.h1	295534	502416	1557168	186784	253390	32339	1	AMR	2827630
HG01114.h2	508160	714216	2000154	185071	238128	40785	1	AMR	3686513
HG01114.h1	1330574	218132	1950714	146038	105653	8472	2	AMR	3759582
HG01258.h1	465359	727442	1505546	151121	269697	36561	1	AMR	3155725
HG01352.h2	570667	817030	1543493	154523	240283	41643	1	AMR	3367638
HG01352.h1	703719	916955	1903561	213954	248296	47198	1	AMR	4033682
HG01457.h2	864181	818416	3141539	346520	248167	63464	3	AMR	5482286
HG01457.h1	643853	553432	1842462	309034	214025	62570	3	AMR	3625375
HG01505.h2	682827	1015883	1822063	208820	379057	60773	1	EUR	4169422
HG01573.h2	1351683	259906	2161311	169814	139282	9455	2	AMR	4091450
HG01573.h1	535313	752852	1173862	140934	199713	44393	1	AMR	2847066
HG01596.h2	1219687	240507	1969715	146050	89338	9149	2	EAS	3674445
HG01890.h2	567920	778281	1447051	127320	165409	53138	1	AFR	3139118
HG01890.h1	1037973	274152	1086864	89983	93336	38888	7	AFR	2621195
HG01891.h1	1030499	274157	1070566	89983	92996	38888	7	AFR	2597088
HG01928.h2	793430	89646	909977	59416	43649	6439	2	AMR	1902556
HG01952.h2	1072199	208953	1744247	151131	89176	8811	2	AMR	3274516
HG02004.h1	484449	739644	1400848	146029	236052	33333	1	AMR	3040354
HG02011.h1	786014	731745	2637450	288704	179501	83932	3	AFR	4707345
HG02018.h2	587019	880214	2304463	181649	263142	56654	1	EAS	4273140
HG02059.h2	1558510	227251	1379065	88304	55534	15306	5	EAS	3323969
HG02059.h1	1166759	258880	1734737	132443	88142	1864	2	EAS	3382824
HG02071.h2	634419	832404	1737901	152808	290434	40842	1	EAS	3688807
HG02071.h1	629061	912873	2027278	185087	248292	11587	1	EAS	4014177
HG02080.h2	1288666	200760	1199691	101889	41110	25638	5	EAS	2857753
HG02106.h2	415578	440024	1661763	163043	222889	39246	1	AMR	2942542
HG02109.h2	1034978	256771	797516	81517	42943	15812	4	AFR	2229536
HG02145.h1	1058436	470775	1885842	149413	124837	24101	7	AFR	3713403
HG02257.h1	585307	437368	656342	27186	34322	1188	4	AFR	1741712
HG02282.h2	775000	160004	878763	81490	45669	3053	2	AFR	1943978
HG02282.h1	558452	805842	1817972	161270	267978	46215	1	AFR	3657728
HG02293.h2	710242	595046	1793443	151136	155196	29563	2	AMR	3434625
HG02300.h2	593680	815125	2233802	208863	285698	39936	1	AMR	4177103
HG02300.h1	412367	646051	1834385	178280	251353	38079	1	AMR	3360514
HG02486.h1	1244228	191592	1767251	95090	55857	31835	2	AFR	3385852
HG02492.h2	644732	875244	2307224	195224	362753	32491	1	SAS	4417667
HG02492.h1	902147	1292758	2106073	198659	285120	38575	1	SAS	4823331
HG02554.h2	1310563	340395	1510843	130736	86332	15532	7	AFR	3394400
HG02554.h1	982869	371845	1293479	135858	83852	10707	6	AFR	2878609
HG02587.h1	478958	642827	1153483	173191	219407	47768	1	AFR	2715633
HG02615.h1	506369	301682	889867	112100	77888	20669	7	AFR	1908574
HG02647.h1	611061	431102	1058328	118879	73467	27863	7	AFR	2320699
HG02666.h2	545515	722287	1400787	171483	220802	33329	1	AFR	3094202
HG02717.h2	977460	362693	1260859	135858	82141	10715	6	AFR	2829725
HG02769.h2	538091	813063	1347827	176659	166269	14968	1	AFR	3056876
HG02809.h2	1230970	325116	1489123	118865	98870	11855	7	AFR	3274798
HG02809.h1	744636	1197233	2055759	161302	261993	32667	1	AFR	4453589
HG02886.h2	832788	163080	1011854	93368	50768	7810	2	AFR	2159667
HG02953.h2	796079	420041	686273	35696	33973	3562	4	AFR	1975623
HG02953.h1	875546	973638	1468740	157893	218449	51422	1	AFR	3745687
HG03009.h2	393446	562427	1341086	106982	115494	19830	1	SAS	2539264
HG03009.h1	650828	816009	1481033	169759	235149	37727	1	SAS	3390504
HG03065.h2	618615	529148	557165	23773	29218	1188	4	AFR	1759106
HG03065.h1	613878	440427	718775	44172	52965	11728	4	AFR	1881944
HG03248.h2	661749	996507	2180845	200346	374628	53472	1	AFR	4467546
HG03248.h1	1341448	286338	1981850	125665	56204	3053	2	AFR	3794557
HG03371.h2	952252	243570	1369443	168194	92493	22100	7	AFR	2848051
HG03371.h1	1298970	326139	1542129	125660	79896	7108	7	AFR	3379901
HG03452.h2	1047225	249655	773082	84920	33612	21929	4	AFR	2210422
HG03452.h1	1080554	209868	840997	112095	46345	22269	4	AFR	2312127
HG03453.h1	820692	202821	1669518	147732	75743	3053	2	AFR	2919558
HG03456.h2	518507	335375	889981	154554	92703	15193	4	AFR	2006312
HG03456.h1	537340	731406	1471483	125612	164386	54493	1	AFR	3084719
HG03492.h2	1221403	218077	1145352	125661	29222	26178	5	SAS	2765892
HG03520.h2	1306776	253781	1958781	123959	71834	4224	2	AFR	3719354
HG03520.h1	1501832	200717	1644846	117173	52651	21651	2	AFR	3538869
HG03540.h2	959805	351497	1233659	137554	79079	10707	6	AFR	2772300
HG03540.h1	895237	991951	1453786	146008	216402	58697	1	AFR	3762080
HG03579.h2	995827	377979	1311104	117201	82816	10707	6	AFR	2895633
HG03683.h2	561802	729430	1561235	146024	297523	4903	1	SAS	3300916
HG03683.h1	519039	712170	1936246	193560	275736	41338	1	SAS	3678088
HG03710.h2	943030	187533	1426253	115463	72178	13584	2	SAS	2758040
HG03710.h1	550991	776382	1733757	142591	224789	38591	1	SAS	3467100
HG03732.h2	683520	1080125	2472991	178288	380546	17795	1	SAS	4813264
HG03732.h1	542113	814091	2638796	181697	299914	31760	1	SAS	4508370
HG03807.h2	377679	507266	1175306	142634	191405	51609	1	SAS	2445898
HG03807.h1	133865	335233	1426848	127348	224095	48388	1	SAS	2295776
HG03927.h2	1034166	209951	1673529	139240	80153	15565	2	SAS	3152603
HG04036.h2	379151	617473	1630462	164708	241510	40103	1	SAS	3073406
HG04036.h1	1080782	186515	1071969	112075	46377	31618	5	SAS	2529335
HG04217.h2	542153	752931	1762346	144303	262207	39261	1	SAS	3503200
HG04217.h1	542850	768273	1799021	156182	255596	32996	1	SAS	3554917
HG04228.h2	618817	863928	1661701	168070	207443	28886	1	SAS	3548844
HG04228.h1	641366	930163	984955	166380	220391	26922	1	SAS	2970176
NA12329.h2	692851	166138	1228007	91690	63177	9519	2	EUR	2251381
NA12329.h1	588385	833390	1388615	202040	366479	52469	1	EUR	3431377
NA18534.h2	1120138	190575	997272	62839	32953	26177	5	EAS	2429953
NA18534.h1	535389	832389	1728310	154488	296151	64594	1	EAS	3611320
NA18906.h1	997113	377948	1293429	134134	83670	10707	6	AFR	2897000
NA18939.h1	1235298	239494	2044396	134161	87630	8472	2	EAS	3749450
