Haplotype	6-mer	8-mer	10-mer	12-mer	16-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1	99806	932694	333849	3347670	214089	348404	86490	8	EUR	5363001
CHM13	105926	924554	303298	3066782	203287	283953	79882	8	EUR	4967681
HG00171.h2	94737	1084981	417122	3455431	227662	413829	84626	8	EUR	5778387
HG00171.h1	101853	1018384	399937	3172610	203264	417394	98150	8	EUR	5411591
HG002.h2	69237	781899	286553	1955651	146317	226924	80564	8	EUR	3547144
HG002.h1	104915	1044137	357590	3133919	162595	357005	86978	8	EUR	5247138
HG00358.h2	80428	1094522	347439	3481786	143660	408468	757189	9	EUR	6313491
HG00438.h1	45822	678520	254128	1255536	105717	200133	86039	3	EAS	2625894
HG00731.h2	84543	1075505	340675	2901952	238493	378429	124265	8	AMR	5143861
HG00731.h1	76391	1104058	327133	2995578	157199	328044	83736	8	AMR	5072138
HG00732.h2	22389	663565	120513	1149773	46082	193080	60868	9	AMR	2256269
HG00864.h2	78439	662048	255766	2806227	157191	324988	96135	8	EAS	4380793
HG00864.h1	96734	1110857	315165	2252697	208685	307250	65638	8	EAS	4357025
HG01099.h1	82498	1055173	420126	1975939	146359	272721	72330	8	AMR	4025145
HG01114.h2	38684	467763	189731	2213997	219532	255707	90413	3	AMR	3475826
HG01358.h2	27492	552049	179618	1045942	119261	187658	76315	3	AMR	2188334
HG01457.h2	72324	1019649	298400	3060605	176181	401022	70924	9	AMR	5099104
HG01505.h2	13232	588739	83233	856668	48829	171208	58495	9	EUR	1820403
HG01505.h1	86565	943624	313642	2525415	230375	308801	74971	8	EUR	4483392
HG01596.h2	49885	879683	181506	1267789	65061	211463	84209	9	EAS	2739595
HG01890.h2	184218	1140699	506701	4002780	159939	399808	117240	5	AFR	6511384
HG01890.h1	226982	790027	580755	1304446	32533	209738	160941	7	AFR	3305421
HG02011.h2	111946	596826	646650	2277131	357842	298408	75390	6	AFR	4364192
HG02011.h1	76334	341310	253985	3701579	70469	134698	48238	1	AFR	4626612
HG02018.h2	45841	978935	176509	2098146	67766	242704	74331	9	EAS	3684231
HG02106.h1	95736	1142090	308658	3563268	149095	360164	117158	9	AMR	5736168
HG02300.h2	90607	931311	245842	2507103	168046	243180	84727	9	AMR	4270815
HG02492.h2	55989	182203	162569	1532246	119243	143796	42118	3	SAS	2238163
HG02554.h1	174061	1087727	416922	3984397	127449	429202	112507	5	AFR	6332264
HG02559.h1	72231	435123	165969	2110263	51517	146075	15429	2	AFR	2996606
HG02587.h2	51880	465056	94894	903487	51530	168428	10339	2	AFR	1745613
HG02587.h1	91627	1219468	760418	1609720	235799	267798	79543	6	AFR	4264372
HG02647.h2	75294	386102	165911	1845701	43376	150100	29333	2	AFR	2695816
HG02666.h2	69230	987091	235642	2397254	184304	222230	82159	9	AFR	4177909
HG02666.h1	79366	409212	162519	1841630	43376	144680	29333	2	AFR	2710115
HG02769.h2	85491	324970	243805	2694262	75898	126559	39618	1	AFR	3590602
HG02809.h1	238182	803648	599350	1206725	24402	249650	181967	7	AFR	3303923
HG03009.h2	79451	358895	323617	2773759	260155	209710	44199	8	SAS	4049785
HG03009.h1	113081	1114873	364498	4401611	170764	353846	72834	9	SAS	6591506
HG03371.h2	822423	1117683	1674514	1084653	100272	410448	108290	7	AFR	5318282
HG03371.h1	127230	1022393	807524	3803307	856489	408458	116444	6	AFR	7141844
HG03456.h2	94684	1271138	746900	1058262	97608	209012	59542	6	AFR	3537145
HG03456.h1	106895	1240008	339097	3671092	173514	345440	86729	5	AFR	5962774
HG03683.h2	90621	1040102	325571	3168453	116568	243680	80899	9	SAS	5065893
HG03710.h2	79455	1063268	327253	3111438	84047	349491	133346	9	SAS	5148297
HG03732.h2	79409	1006078	240710	2401377	162620	246138	115420	9	SAS	4251751
HG03807.h2	88615	928548	317012	2920271	189703	327968	66495	8	SAS	4838611
HG03807.h1	94734	1019723	345861	3671110	151800	282184	75846	9	SAS	5641257
NA12329.h2	75378	885109	289933	2901907	208673	342991	87517	8	EUR	4791507
NA12329.h1	92625	995321	347640	3331337	111146	307310	76030	9	EUR	5261408
NA18534.h2	84536	648512	223673	2730937	203272	287625	89963	8	EAS	4268517
NA18939.h2	92699	969471	296561	2486896	197837	304439	66063	8	EAS	4413965
NA18989.h2	86521	1167882	267856	2743259	151795	394837	152006	9	EAS	4964155
NA18989.h1	37676	401119	167708	1064240	138212	172641	88073	3	EAS	2069668
NA19036.h2	105967	1076834	354207	2863304	173482	312333	87246	8	AFR	4973372
NA19036.h1	76344	515310	186423	1674769	132799	178885	89101	3	AFR	2853630
NA19129.h2	88611	940904	354138	2562022	154522	294653	83269	8	AFR	4478118
NA19238.h1	66109	588668	438610	2254695	105735	246056	22380	4	AFR	3722252
NA19239.h2	58989	573744	436927	2262831	116581	224539	21708	4	AFR	3695318
NA19239.h1	131352	1193780	396487	5152836	216879	340294	77544	8	AFR	7509171
NA19317.h2	74275	599572	506194	3829556	168119	374955	44612	4	AFR	5597282
NA19317.h1	118064	961189	770337	2472490	466248	358291	74375	6	AFR	5220993
NA19384.h2	43762	534333	318408	1459153	127414	136827	62212	6	AFR	2682108
NA19650.h1	96766	1084980	345809	2596621	173441	305145	78358	8	AMR	4681119
NA19705.h2	98761	1214340	333834	2639464	170766	244658	83582	8	AFR	4785404
NA19836.h2	99668	833418	423782	2220159	73256	207373	69303	4	AFR	3926958
NA19983.h2	38679	197169	91457	1737839	29814	41584	10680	1	AFR	2147221
NA20355.h1	49850	299151	76204	765150	32530	36834	1700	2	AFR	1261418
