Haplotype	6-mer	8-mer	10-mer	12-mer	14-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1	3489714	92607	166697	124656	28556	131390	6111	3	EUR	4039730
CHM13	3006374	32677	115723	26554	26195	74286	18487	1	EUR	3300295
HG00096.h1	3500747	36751	68070	10210	42873	71328	67674	2	EUR	3797652
HG00171.h2	3589615	31308	102084	22464	28579	58401	62160	2	EUR	3894610
HG00171.h1	1049506	9526	57846	6126	16669	31827	8323	2	EUR	1179822
HG002.h2	3083979	40852	149754	30636	42862	89077	20809	1	EUR	3457968
HG002.h1	2249197	23145	114026	18379	30958	49578	19169	1	EUR	2504451
HG00268.h2	2116325	34033	146343	30630	40482	63710	17534	1	EUR	2449056
HG00268.h1	3899536	36764	173583	22462	33332	65082	18767	1	EUR	4249525
HG00358.h2	3390618	32684	139544	26551	26192	73628	14540	1	EUR	3703756
HG00438.h2	3401085	85782	136151	18375	47636	40538	25567	6	EAS	3755133
HG00438.h1	1728059	66721	37437	8176	2382	36451	4414	3	EAS	1883639
HG00512.h2	3117857	73534	74892	112386	2382	99462	6112	3	EAS	3486624
HG00512.h1	3428127	29946	64654	14294	14293	45975	58363	2	EAS	3655651
HG00513.h2	3947715	99413	83370	94011	14284	122931	5434	3	EAS	4367157
HG00513.h1	4294928	36753	91873	20415	26193	66235	109972	2	EAS	4646368
HG00731.h2	3234290	25869	173582	32677	23815	58436	20355	1	AMR	3569023
HG00731.h1	2887814	25869	154843	28596	28578	71899	26204	1	AMR	3223802
HG00741.h1	4121406	115757	95270	96061	14283	119195	5434	3	AMR	4567405
HG00864.h2	4107985	93959	238251	24504	21430	70652	20629	1	EAS	4577409
HG00864.h1	1445002	47652	69774	10214	2382	57211	9606	3	EAS	1641840
HG01071.h2	1722919	35389	170169	24503	40482	46317	17750	1	AMR	2057528
HG01099.h2	3648174	80338	251864	38800	21431	93294	21320	1	AMR	4155220
HG01099.h1	1575669	19050	45934	12249	7144	34044	9174	2	AMR	1703263
HG01109.h1	1620307	8172	49358	8163	9524	13954	21464	2	AMR	1730941
HG01114.h2	3312933	39488	168479	28591	42863	86693	19281	1	AMR	3698327
HG01114.h1	3083026	31312	154858	18381	26193	93029	20332	1	AMR	3427130
HG01352.h2	3270050	25868	156559	40840	26194	63361	30700	1	AMR	3613571
HG01352.h1	3730926	24502	88466	10211	19054	65197	56250	2	AMR	3994605
HG01358.h1	2944883	27234	93579	18375	33343	47155	30892	2	AMR	3195460
HG01457.h2	2937739	43562	91886	10214	40482	60597	69831	2	AMR	3254310
HG01457.h1	1074957	23136	188900	22460	28572	48829	14513	1	AMR	1401366
HG01505.h1	3068690	29953	168471	24506	30958	71730	17745	1	EUR	3412052
HG01596.h2	2768275	36758	81669	18359	40478	61615	50331	2	EAS	3057484
HG01596.h1	3157568	103497	136107	112405	38090	121865	5432	3	EAS	3674963
HG01890.h2	2172542	40836	204201	22462	26195	70630	18234	1	AFR	2555099
HG01890.h1	1934451	35385	66378	4085	33343	15657	9800	3	AFR	2099098
HG02004.h2	3279236	32678	166774	42880	33338	65757	32296	1	AMR	3652958
HG02004.h1	3342630	49015	168476	24507	40482	61484	22550	1	AMR	3709143
HG02011.h1	3579673	113004	146298	120565	11902	143681	8203	3	AFR	4123325
HG02018.h2	2497541	66724	40837	46999	2382	91259	6098	3	EAS	2751839
HG02018.h1	3016470	38116	110588	24492	21434	56526	65500	2	EAS	3333125
HG02071.h1	3099433	55830	217823	22462	14288	67935	12899	1	EAS	3490669
HG02080.h1	2283891	93973	129288	116493	28562	95308	10204	3	EAS	2757718
HG02106.h2	3005378	36758	166769	26549	38099	63373	20620	1	AMR	3357545
HG02106.h1	3346631	29951	165075	24513	33339	80381	37680	1	AMR	3717569
HG02282.h1	1938539	29950	69761	6125	7146	36802	57528	1	AFR	2145850
HG02293.h2	3480594	36764	142941	36750	26193	76308	29548	1	AMR	3829097
HG02293.h1	2426976	13610	98698	18381	35721	67631	24482	1	AMR	2685498
HG02300.h2	1212815	10884	78259	18380	19053	36591	11728	2	AMR	1387709
HG02492.h1	2240843	110303	193973	122641	28560	120859	353272	3	SAS	3170450
HG02554.h2	2828618	104857	100350	157361	9523	74904	7475	3	AFR	3283087
HG02572.h2	2026676	27212	37423	24501	33342	47172	7641	2	AFR	2203966
HG02615.h2	3102881	32676	49316	18374	45253	43159	6017	2	AFR	3297675
HG02615.h1	1304971	23146	47642	6127	16667	26920	8001	1	AFR	1433473
HG02647.h2	1302927	21785	54449	6127	16667	27260	9252	1	AFR	1438466
HG02666.h2	2397436	157950	267026	48990	23821	341572	7231	1	AFR	3244025
HG02666.h1	576091	359473	428735	990252	154774	416641	68942	4	AFR	2994907
HG02717.h1	2126585	29946	166756	22459	28574	68593	15937	1	AFR	2458849
HG02769.h2	3589691	28596	144621	18382	40485	76151	21142	1	AFR	3919067
HG02769.h1	2685570	98045	195705	20419	30960	56708	15989	1	AFR	3103395
HG02809.h2	2166431	38111	188889	26544	26192	75394	16959	1	AFR	2538519
HG02809.h1	2363637	76242	211004	26545	28572	74370	16884	1	AFR	2797253
HG02953.h2	2070348	38112	178673	20419	26194	71996	14696	1	AFR	2420437
HG02953.h1	1971245	38108	59569	4085	30961	18035	9800	3	AFR	2131802
HG03009.h2	2501573	28594	134452	30635	23815	74785	19126	1	SAS	2812979
HG03009.h1	3353938	91234	148041	14295	35720	55202	13700	6	SAS	3712129
HG03065.h2	2206378	13613	20421	4086	14284	23526	5700	1	AFR	2288007
HG03065.h1	4210252	39493	153159	30631	23815	77018	22051	1	AFR	4556418
HG03248.h2	2582776	24501	47626	24499	33341	48576	5171	2	AFR	2766489
HG03248.h1	2383064	83049	212698	28590	28576	72147	20652	1	AFR	2828775
HG03371.h2	1716689	36769	91878	10208	23812	45472	26235	2	AFR	1951062
HG03371.h1	2166329	55835	90166	22452	14291	38496	24400	1	AFR	2411968
HG03452.h1	2342812	23138	56148	14294	14292	64647	35184	2	AFR	2550514
HG03453.h2	1466984	19047	78266	30621	35725	82032	5434	2	AFR	1718108
HG03456.h2	1530757	73517	78264	71485	16675	73166	6110	3	AFR	1849973
HG03456.h1	3242215	96659	221098	40821	26192	76688	341	5	AFR	3704013
HG03486.h2	525068	322723	420241	830987	116678	379174	33690	4	AFR	2628560
HG03492.h1	3169856	25865	146356	18386	26194	62172	23334	1	SAS	3472162
HG03516.h1	2022509	31302	45931	22460	28579	60299	5264	2	AFR	2216343
HG03520.h2	3000098	77606	187083	32650	23813	66125	341	5	AFR	3387715
HG03520.h1	2171532	38111	202492	24501	26192	74711	19901	1	AFR	2557439
HG03540.h1	2287641	20417	39103	14292	14291	39584	10528	2	AFR	2425855
HG03710.h2	2851005	121201	161610	87884	11902	130059	9176	3	SAS	3372836
HG03710.h1	3073797	46294	154850	42881	33340	84175	22908	1	SAS	3458244
HG03732.h2	1993723	14971	119125	16345	23812	53642	15759	1	SAS	2237376
HG03732.h1	3029860	38126	154862	26548	28580	92528	14356	1	SAS	3384859
HG03807.h2	2147996	34027	197398	49007	35718	30632	15969	1	SAS	2510746
HG03807.h1	2257519	54462	117410	16340	40488	39337	11250	6	SAS	2536805
HG03927.h2	3093398	73535	134437	18376	42869	47859	15727	6	SAS	3426200
HG03927.h1	2660975	24508	156560	32686	33335	63363	18233	1	SAS	2989659
HG04036.h2	3064649	40851	108920	16340	26194	96595	21391	1	SAS	3374939
HG04036.h1	3156578	55816	180391	18380	38094	65085	20265	1	SAS	3534608
HG04217.h2	2641790	70812	117413	18377	47630	30327	14443	6	SAS	2940791
HG04217.h1	3805472	83063	195710	14295	23814	83412	20745	1	SAS	4226510
HG04228.h2	2776429	28597	149754	24510	35716	72743	21799	1	SAS	3109547
HG04228.h1	3142365	46291	158273	18380	38099	75116	17162	1	SAS	3495685
NA12329.h2	3664430	100779	192210	132835	28556	162718	6110	3	EUR	4287637
NA12329.h1	3600163	83052	239954	26547	33337	93614	15277	1	EUR	4091943
NA18989.h2	4057089	92595	105539	143070	11904	94329	4414	3	EAS	4508939
NA18989.h1	3251805	84420	120808	77661	11905	120855	7131	3	EAS	3674584
NA19036.h2	2336056	49009	190592	20417	30958	73205	15983	1	AFR	2716219
NA19036.h1	2787529	88501	181989	34695	21430	71595	341	5	AFR	3186079
NA19129.h2	1727980	27221	27234	6123	2381	45668	3182	1	AFR	1839788
NA19129.h1	2528071	24486	23834	6126	0	68871	10033	1	AFR	2661420
NA19238.h2	234002	243777	696032	2280331	228502	478575	72225	4	AFR	4233443
NA19317.h2	2151927	20410	22117	6127	9527	63402	4414	3	AFR	2277923
NA19331.h2	2680405	27232	127631	42880	30959	60295	17247	1	AFR	2986648
NA19331.h1	1848592	32683	100386	10209	21431	50412	28966	2	AFR	2092678
NA19347.h2	2868481	31307	96960	6124	11910	72750	30784	1	AFR	3118315
NA19347.h1	3665082	55810	74887	4084	11906	52580	24679	2	AFR	3889027
NA19384.h2	2885639	81686	159888	30608	26196	65090	341	5	AFR	3249447
NA19384.h1	1828836	29953	86767	10206	16670	47181	15494	2	AFR	2035106
NA19650.h2	2926600	29950	136138	22472	33340	60642	34605	1	AMR	3243746
NA19650.h1	3652273	23140	64648	10211	19054	55329	58369	2	AMR	3883023
NA19705.h2	564879	351305	430456	869781	126197	367937	52657	4	AFR	2763211
NA19705.h1	2876559	29953	170169	24507	40481	70868	22091	1	AFR	3234627
NA19836.h1	2393646	21769	66378	4083	14288	43401	8433	2	AFR	2551997
NA19983.h1	1815930	27237	37428	6127	16664	37150	9016	1	AFR	1949551
NA20355.h2	206394	137550	222889	922812	216731	426264	18274	4	AFR	2150913
NA20355.h1	3239189	54445	62973	6125	14288	53777	7480	2	AFR	3438276
