Haplotype	15-mer	18-mer	19-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1	403043	297011	2414095	593144	480233	3	EUR	4187525
CHM13	257644	440918	2246018	638347	1910028	3	EUR	5492954
HG00096.h2	35715	97966	966333	122853	605631	2	EUR	1828497
HG002.h2	639594	21426	1395223	305158	1054253	1	EUR	3415653
HG002.h1	619288	6122	1292539	369201	1862874	1	EUR	4150023
HG00358.h2	191307	309255	2181442	610811	1253679	3	EUR	4546493
HG00358.h1	657450	27523	1304774	368567	926729	1	EUR	3285042
HG00512.h2	596303	21427	817062	181925	1392961	1	EAS	3009677
HG00513.h2	255081	333754	2152332	601200	1536905	3	EAS	4879271
HG00731.h2	675268	15301	1039943	304337	1488595	1	AMR	3523443
HG00731.h1	639670	0	1343994	400563	1342029	1	AMR	3726255
HG00732.h2	614120	27520	1663408	400265	865366	1	AMR	3570678
HG00864.h2	519787	9181	578169	194011	945174	1	EAS	2246321
HG00864.h1	201516	358235	1745224	415153	1192488	3	EAS	3912615
HG01071.h2	639670	0	1343981	400559	1338672	1	AMR	3722881
HG01099.h2	626876	24468	1178855	324098	1744252	1	AMR	3898548
HG01109.h1	7654	97969	930778	147552	642095	2	AMR	1826047
HG01457.h2	290808	352122	2065173	420578	1673299	3	AMR	4801979
HG01457.h1	583529	27532	1492131	326793	913556	1	AMR	3343540
HG01596.h1	242330	643003	3199423	872020	2056403	3	EAS	7013178
HG01890.h2	181109	434787	2023149	548825	1713972	3	AFR	4901841
HG01890.h1	734097	21406	1760757	411284	871733	1	AFR	3799276
HG02011.h2	155607	235757	620514	259218	190586	3	AFR	1461681
HG02011.h1	191289	327622	1454350	360490	756907	3	AFR	3090657
HG02071.h2	575872	30584	1366158	303985	1512446	1	EAS	3789044
HG02106.h2	654926	51963	800906	309618	1376132	1	AMR	3193544
HG02282.h2	196415	376610	1706386	465502	572878	3	AFR	3317790
HG02282.h1	76528	153100	1111732	246528	2002614	3	AFR	3590501
HG02492.h2	504532	12244	1408916	246299	524554	1	SAS	2696544
HG02492.h1	514850	15304	1007630	423385	1095415	1	SAS	3056583
HG02554.h2	262721	150037	1845295	444352	689945	3	AFR	3392349
HG02559.h2	186198	162277	895196	372745	694563	3	AFR	2310978
HG02587.h2	201512	388865	1551303	408012	1363442	3	AFR	3913133
HG02615.h1	227026	21434	1648154	291364	494489	3	AFR	2682466
HG02630.h1	560675	18355	1928837	424521	1714065	1	AFR	4646452
HG02647.h2	186177	140848	1034167	378554	726420	3	AFR	2466165
HG02647.h1	163246	199023	1034158	431118	793296	3	AFR	2620840
HG02666.h2	181096	171462	1076185	314057	1177617	3	AFR	2920416
HG02666.h1	705865	18365	1414606	311975	1010781	1	AFR	3461591
HG02769.h1	209082	6124	3131687	460990	963431	2	AFR	4771313
HG02953.h2	191300	263327	1826001	509117	2025533	3	AFR	4815277
HG03009.h2	428230	64191	2080068	400219	1288480	1	SAS	4261187
HG03009.h1	267824	398046	2349477	584639	2073904	3	SAS	5673889
HG03065.h1	657531	18347	1204780	412829	555197	1	AFR	2848683
HG03248.h1	249988	379669	1370308	419212	1104988	3	AFR	3524164
HG03371.h2	193868	39805	1173067	313621	527028	3	AFR	2247388
HG03371.h1	525062	27530	2471294	306493	355669	1	AFR	3686047
HG03453.h1	244881	58175	2100475	340632	1325963	2	AFR	4070125
HG03456.h2	300919	64271	1324482	435444	628605	2	AFR	2753720
HG03540.h2	188734	9182	649478	302996	753049	2	AFR	1903438
HG03807.h2	267840	419491	2213738	621842	1904889	3	SAS	5427799
HG03807.h1	211724	263319	2103861	575678	1282442	3	SAS	4437023
HG03927.h2	160698	306183	1683665	429826	375709	3	SAS	2956080
HG03927.h1	621801	33634	1414557	390894	2518276	1	SAS	4979161
NA18534.h1	196415	254134	1525336	514780	1556749	3	EAS	4047413
NA18906.h2	170911	177594	672237	292688	302905	3	AFR	1616334
NA18939.h2	209163	21430	933913	289340	2209549	3	EAS	3663394
NA18939.h1	257632	217389	2242821	441100	1323045	3	EAS	4481986
NA19238.h2	183639	168402	1034164	333272	450408	3	AFR	2169884
NA19238.h1	234670	55114	1415441	307360	689220	3	AFR	2701804
NA19239.h1	145401	410291	1677330	465854	1516489	3	AFR	4215364
NA19317.h2	89280	251078	1098829	307580	1091501	3	AFR	2838267
NA19317.h1	89280	18372	927549	250890	663564	3	AFR	1949654
NA19347.h2	86729	251078	1066523	302661	667450	3	AFR	2374440
NA19347.h1	193854	278637	1444652	414625	1194196	3	AFR	3525963
NA19650.h1	204068	394987	2129703	538961	1029450	3	AMR	4297168
NA19705.h2	165780	150030	975989	348085	711595	3	AFR	2351478
NA19836.h1	560682	58096	1728083	231692	922867	1	AFR	3501419
NA19983.h1	234578	9186	2737409	441425	897456	2	AFR	4320053
