Haplotype	2-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1	3470370	1022	178539	5	EUR	3649930
CHM13	3738248	1533	188151	5	EUR	3927931
HG00171.h2	6315779	0	92151	1	EUR	6407929
HG00171.h1	3223589	1022	181802	5	EUR	3406412
HG002.h2	3186598	0	230019	6	EUR	3416616
HG002.h1	3807485	0	253762	13	EUR	4061246
HG00268.h1	2209324	511	160066	4	EUR	2369900
HG00358.h2	2173292	511	156337	4	EUR	2330139
HG00358.h1	3686851	0	244721	13	EUR	3931571
HG00512.h2	2924196	0	235722	6	EAS	3159917
HG00512.h1	3796317	1022	198161	4	EAS	3995499
HG00513.h2	4479819	0	97649	14	EAS	4577467
HG00513.h1	3482284	0	250388	6	EAS	3732671
HG00621.h2	3316574	0	188546	6	EAS	3505119
HG00621.h1	3731077	511	159928	5	EAS	3891515
HG00731.h2	3700748	509	205024	6	AMR	3906280
HG00731.h1	4045457	1016	49711	15	AMR	4096183
HG00732.h2	3001902	0	1158315	2	AMR	4160216
HG00732.h1	6443299	1020	90653	1	AMR	6534971
HG00741.h2	3792758	0	173635	4	AMR	3966392
HG00741.h1	4295995	0	185751	5	AMR	4481745
HG00864.h2	6813423	3577	134981	14	EAS	6951980
HG00864.h1	3393822	511	227189	4	EAS	3621521
HG01071.h2	1876821	1022	144873	5	AMR	2022715
HG01099.h1	3886964	511	154937	4	AMR	4042411
HG01106.h2	3768783	0	242741	13	AMR	4011523
HG01109.h1	3564365	0	201129	6	AMR	3765493
HG01114.h2	3767165	0	144625	5	AMR	3911789
HG01114.h1	6534970	0	116569	1	AMR	6651538
HG01123.h2	2667223	0	1009347	3	AMR	3676569
HG01123.h1	3724254	0	223541	13	AMR	3947794
HG01243.h2	3383205	0	197218	13	AMR	3580422
HG01243.h1	2146281	0	182572	13	AMR	2328852
HG01352.h2	6575738	0	111468	1	AMR	6687205
HG01352.h1	3863530	0	239154	13	AMR	4102683
HG01361.h1	4906480	0	59772	1	AMR	4966251
HG01457.h2	3969399	511	187873	5	AMR	4157782
HG01505.h2	3158466	0	210995	6	EUR	3369460
HG01505.h1	3048111	509	241279	13	EUR	3289898
HG01596.h2	3572937	1022	184404	5	EAS	3758362
HG01596.h1	3976466	511	225760	4	EAS	4202736
HG01890.h2	4933801	511	154356	4	AFR	5088667
HG01890.h1	3030763	507	192280	11	AFR	3223549
HG01891.h2	3079542	509	106393	15	AFR	3186443
HG01952.h2	2824624	1525	77890	15	AMR	2904038
HG02004.h2	2656374	0	62425	1	AMR	2718798
HG02011.h2	1851398	0	185392	12	AFR	2036789
HG02011.h1	5196482	511	299645	10	AFR	5496637
HG02018.h2	4919469	511	209615	5	EAS	5129594
HG02018.h1	6150362	3042	245319	11	EAS	6398722
HG02059.h2	4439801	1014	315625	11	EAS	4756439
HG02059.h1	4938327	511	121423	14	EAS	5060260
HG02071.h1	3093763	0	226372	6	EAS	3320134
HG02080.h2	3868135	507	324121	11	EAS	4192762
HG02106.h2	4015163	0	196989	5	AMR	4212151
HG02106.h1	3406042	0	1122152	2	AMR	4528193
HG02109.h2	2839805	511	189713	7	AFR	3030028
HG02145.h2	4061565	0	217907	12	AFR	4279471
HG02257.h2	2512218	0	1025455	3	AFR	3537672
HG02257.h1	3349924	0	168810	9	AFR	3518733
HG02282.h2	3505954	0	175897	5	AFR	3681850
HG02282.h1	5244370	1022	90298	14	AFR	5335689
HG02300.h1	2990933	0	228756	6	AMR	3219688
HG02486.h2	2203558	511	166509	4	AFR	2370577
HG02492.h1	4503234	0	52052	1	SAS	4555285
HG02559.h2	4601073	1022	145198	4	AFR	4747292
HG02559.h1	5909160	1022	128639	14	AFR	6038820
HG02587.h2	3715697	0	176150	9	AFR	3891846
HG02587.h1	3402643	507	183346	11	AFR	3586495
HG02622.h2	2536379	0	857050	3	AFR	3393428
HG02622.h1	4837620	1517	333761	10	AFR	5172897
HG02630.h2	3465113	1521	201096	11	AFR	3667729
HG02630.h1	5409217	0	310136	8	AFR	5719352
HG02647.h1	2759975	511	136777	7	AFR	2897262
HG02666.h2	3886612	0	199634	8	AFR	4086245
HG02666.h1	2707964	1022	176999	7	AFR	2885984
HG02717.h2	3466949	508	68029	15	AFR	3535485
HG02723.h2	3602519	1022	236242	7	AFR	3839782
HG02769.h2	3350025	0	216957	8	AFR	3566981
HG02769.h1	3470375	1533	215550	7	AFR	3687457
HG02809.h1	3367620	0	132666	9	AFR	3500285
HG02886.h1	3725785	0	550223	12	AFR	4276007
HG02953.h2	5557556	511	164201	4	AFR	5722267
HG02953.h1	2538449	511	132028	7	AFR	2670987
HG03009.h2	2893034	0	173068	6	SAS	3066101
HG03009.h1	3596222	0	1222768	2	SAS	4818989
HG03065.h1	2498307	0	994456	3	AFR	3492762
HG03098.h1	3939886	0	200315	8	AFR	4140200
HG03248.h2	2808683	0	1076031	3	AFR	3884713
HG03371.h2	2580566	0	1278599	3	AFR	3859164
HG03371.h1	5827514	0	154778	8	AFR	5982291
HG03452.h2	5583361	0	56419	12	AFR	5639779
HG03453.h1	4042540	0	200316	8	AFR	4242855
HG03456.h2	2706618	0	131253	12	AFR	2837870
HG03456.h1	4812870	0	586055	12	AFR	5398924
HG03492.h2	3805566	0	212787	13	SAS	4018352
HG03492.h1	2711540	508	1271622	2	SAS	3983669
HG03516.h2	3420309	0	151815	9	AFR	3572123
HG03520.h2	3845329	0	171846	9	AFR	4017174
HG03520.h1	2529967	0	1003457	3	AFR	3533423
HG03540.h2	3262283	508	71263	15	AFR	3334053
HG03579.h2	3466584	0	131807	9	AFR	3598390
HG03579.h1	2311768	1022	166306	7	AFR	2479095
HG03683.h2	2304955	0	1190495	2	SAS	3495449
HG03683.h1	4459855	0	78717	1	SAS	4538571
HG03710.h1	3545329	0	223906	6	SAS	3769234
HG03732.h2	3215690	0	251593	6	SAS	3467282
HG03732.h1	3159445	0	212415	6	SAS	3371859
HG03807.h2	3788133	1016	105738	15	SAS	3894886
HG03807.h1	3197891	0	230165	6	SAS	3428055
HG03927.h1	6424072	0	89074	1	SAS	6513145
HG04036.h2	3791358	1016	68036	15	SAS	3860409
HG04217.h2	6015965	0	78337	1	SAS	6094301
HG04217.h1	1519719	0	209565	6	SAS	1729283
HG04228.h2	3987027	1022	206102	5	SAS	4194150
NA12329.h2	3667902	0	227326	13	EUR	3895227
NA12329.h1	2667917	511	157004	4	EUR	2825431
NA18534.h2	3472263	0	206230	6	EAS	3678492
NA18906.h1	4334908	0	223872	4	AFR	4558779
NA18989.h2	4847201	511	204786	4	EAS	5052497
NA18989.h1	3083473	0	1153812	2	EAS	4237284
NA19036.h2	3219101	511	197473	4	AFR	3417084
NA19036.h1	3865577	0	348566	10	AFR	4214142
NA19129.h2	3206874	511	222303	4	AFR	3429687
NA19129.h1	3749355	1022	193454	7	AFR	3943830
NA19238.h2	3919245	511	191753	7	AFR	4111508
NA19238.h1	2173399	0	105563	12	AFR	2278961
NA19317.h2	1832165	1014	189265	11	AFR	2022443
NA19317.h1	2481950	0	999786	3	AFR	3481735
NA19331.h2	2501713	0	1027485	3	AFR	3529197
NA19331.h1	2625121	0	1508525	3	AFR	4133645
NA19347.h2	3565859	1022	151184	7	AFR	3718064
NA19347.h1	3086190	1014	197204	11	AFR	3284407
NA19384.h2	3255855	507	183810	11	AFR	3440171
NA19384.h1	3403291	508	182515	15	AFR	3586313
NA19650.h2	2045418	1022	150886	4	AMR	2197325
NA19650.h1	2813924	511	125583	4	AMR	2940017
NA19705.h2	2515655	0	981724	3	AFR	3497378
NA19983.h2	3886626	511	185188	4	AFR	4072324
NA20129.h1	2558506	0	974842	3	AFR	3533347
NA20355.h2	2594040	511	146181	4	AFR	2740731
NA20355.h1	3312496	0	220604	8	AFR	3533099
NA20509.h2	2018967	511	112292	4	EUR	2131769
NA20509.h1	3344165	0	203502	13	EUR	3547666
NA21309.h1	3658672	0	166160	9	AFR	3824831
