Haplotype	7-mer	8-mer	11-mer	10-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1	636114	728155	1158251	0	54827	30239	3	EUR	2607585
CHM13	768238	789151	487636	0	20936	41940	5	EUR	2107900
HG00096.h1	689570	1143009	1027348	0	144325	35058	2	EUR	3039309
HG00171.h2	771755	611526	773496	1706	20218	40863	5	EUR	2219563
HG00171.h1	862490	892221	581067	3412	23455	45354	5	EUR	2407998
HG002.h2	738743	839317	1165737	1693	61296	30239	3	EUR	2837024
HG002.h1	677780	798640	1120885	0	63152	30581	3	EUR	2691037
HG00268.h2	848150	813559	536207	1706	21433	40737	5	EUR	2261791
HG00268.h1	768246	816260	663277	3412	17839	40863	5	EUR	2309896
HG00358.h2	863657	824422	496985	3412	24313	41763	5	EUR	2254551
HG00358.h1	579782	961271	904111	0	135842	36852	2	EUR	2617857
HG00438.h2	526159	772813	1003116	3384	126065	38892	2	EAS	2470428
HG00438.h1	363955	484033	833187	0	56328	33299	3	EAS	1770801
HG005.h2	559459	421694	457747	3403	20072	44828	5	EAS	1507202
HG00513.h2	976973	709155	556756	10228	23139	37713	5	EAS	2313963
HG00513.h1	583316	455593	440916	5092	29080	40516	5	EAS	1554512
HG00621.h2	928101	827132	491373	3412	30283	34743	5	EAS	2315043
HG00731.h2	887530	858309	524999	1706	20916	34745	5	AMR	2328204
HG00731.h1	804021	805435	463349	3412	14960	40751	5	AMR	2131927
HG00732.h2	784961	741703	465212	1706	25010	40129	5	AMR	2058720
HG00732.h1	917330	818992	642695	0	27056	45946	5	AMR	2452018
HG00735.h1	885134	809511	468944	3412	16659	43193	5	AMR	2226852
HG00741.h2	863667	837981	603483	5118	21928	38051	5	AMR	2370227
HG00741.h1	1327890	1979590	1744817	1694	40252	51992	7	AMR	5146234
HG00864.h2	530934	806711	1027399	3384	130813	38893	2	EAS	2538133
HG00864.h1	607177	452879	472699	1706	20408	52897	5	EAS	1607765
HG01099.h1	414015	637230	842461	0	105173	37048	2	AMR	2035926
HG01106.h2	737252	675257	450280	0	28925	36035	5	AMR	1927748
HG01114.h2	905438	756618	388620	3412	29413	36554	5	AMR	2120054
HG01114.h1	713354	429851	511902	3412	18198	42582	5	AMR	1719298
HG01123.h1	445052	652100	1025512	0	149603	36553	2	AMR	2308819
HG01243.h2	755303	1005183	545435	93105	65823	48402	4	AMR	2513250
HG01243.h1	809993	885444	491341	1706	22966	38535	5	AMR	2249984
HG01352.h2	695709	827090	948985	0	43939	1872	3	AMR	2517594
HG01352.h1	879152	772891	620283	0	27055	45943	5	AMR	2345323
HG01457.h2	542892	794440	982549	1693	162157	36556	2	AMR	2520286
HG01457.h1	704992	699668	422243	1706	29090	34744	5	AMR	1892442
HG01505.h2	530961	801225	1068486	0	159603	36553	2	EUR	2596827
HG01505.h1	808802	726787	534367	1706	25689	42749	5	EUR	2140099
HG01573.h2	691980	983049	1014335	1697	140984	38032	2	AMR	2870076
HG01596.h2	490364	734853	870488	0	116565	36854	2	EAS	2249123
HG01596.h1	941213	867803	457733	6824	25013	39401	5	EAS	2337986
HG01890.h2	366360	431151	911579	0	59046	30581	3	AFR	1798716
HG01890.h1	571501	799941	851797	3385	116866	36931	2	AFR	2380420
HG01891.h2	448567	836541	1018021	3389	109712	35042	2	AFR	2451271
HG01928.h2	490360	751107	844350	0	107385	35042	2	AMR	2228243
HG01978.h2	496356	742940	1036721	0	156211	33264	2	AMR	2465491
HG02004.h1	786122	767472	534360	8493	22107	38535	5	AMR	2157088
HG02011.h2	355564	310440	422067	76185	50424	27371	8	AFR	1242050
HG02011.h1	1001175	1130826	1006960	1693	46150	31949	3	AFR	3218752
HG02018.h2	529709	775544	661262	0	97220	38695	2	EAS	2102429
HG02018.h1	1041392	1111882	560492	3412	32450	41846	5	EAS	2791473
HG02055.h1	338845	527391	846233	1693	90549	34591	2	AFR	1839301
HG02059.h2	511921	600674	952763	0	83007	41325	3	EAS	2189689
HG02059.h1	752884	1018232	1169318	0	219815	35778	2	EAS	3196026
HG02071.h2	870824	730851	693165	3408	23146	47854	5	EAS	2369247
HG02106.h1	999631	989859	519384	3403	32814	48782	5	AMR	2593872
HG02109.h2	796850	770160	461473	0	31481	36207	5	AFR	2096170
HG02109.h1	586988	565075	1010517	98194	143337	31453	8	AFR	2435563
HG02282.h2	530881	913776	898514	0	122946	35059	2	AFR	2501175
HG02300.h2	479620	710460	924664	0	115522	36858	2	AMR	2267123
HG02492.h1	634707	919290	922798	6772	101463	36852	2	SAS	2621881
HG02554.h1	771958	1071466	594003	74487	63985	51365	4	AFR	2627263
HG02559.h2	544055	930092	599645	0	86996	33265	2	AFR	2194052
