Haplotype	Cluster
HG00438.pat	1
HG02300.mat	1
NA20355.mat	1
HG00171.pat	1
HG01099.mat	1
NA20509.mat	1
HG03710.mat	1
HG02018.mat	1
HG04217.mat	1
NA19384.mat	2
HG03371.mat	2
HG03520.mat	2
HG02647.pat	2
NA19347.pat	2
HG03453.pat	3
NA19705.pat	3
NA19983.mat	3
HG02769.pat	3
NA19836.mat	3
HG02622.pat	3
HG02809.mat	3
HG03248.pat	3
HG02559.mat	3
HG02769.mat	3
HG02886.pat	3
HG02953.mat	3
NA19347.mat	3
HG02282.mat	3
HG02953.pat	3
NA19238.mat	3
HG02055.pat	3
HG03520.pat	3
HG03732.pat	4
HG02492.pat	4
HG03492.pat	4
HG02071.pat	4
HG01596.mat	4
NA18534.mat	4
HG01457.pat	4
HG00513.mat	4
HG00864.mat	4
HG01573.mat	5
HG02300.pat	5
HG00438.mat	5
HG02293.mat	5
HG02809.pat	5
HG02572.mat	5
NA19317.pat	5
HG002.mat	5
HG02011.mat	5
HG04228.pat	5
HG04228.mat	5
NA20847.mat	5
HG03065.pat	6
HG01890.pat	6
NA19239.mat	6
HG03371.pat	7
NA19036.mat	7
NA19129.mat	7
HG03248.mat	7
HG03456.mat	7
HG03452.pat	7
HG02145.mat	7
NA19983.pat	7
HG02587.pat	7
NA19317.mat	7
HG02559.pat	7
HG03098.pat	7
NA19705.mat	7
HG02011.pat	8
HG02630.pat	8
HG02587.mat	8
HG03098.mat	8
NA19129.pat	8
HG03486.pat	8
NA21487.mat	8
HG02666.mat	8
NA18906.pat	8
HG02615.mat	8
NA19836.pat	8
NA21309.mat	8
HG02106.mat	9
HG02004.pat	9
HG01457.mat	9
HG01928.mat	9
NA18989.mat	9
NA18989.pat	9
NA18939.pat	9
NA20847.pat	9
HG00512.mat	9
HG02018.pat	9
HG01071.pat	9
NA19650.pat	9
HG00268.mat	9
HG03009.pat	9
HG01114.mat	9
HG00735.pat	9
HG03927.mat	9
HG03683.mat	9
CHM1.pat	9
HG00732.pat	9
HG00731.pat	9
HG00732.mat	9
HG02080.pat	9
HG02071.mat	9
NA18939.mat	9
HG00673.pat	9
NA19650.mat	9
HG002.pat	9
HG01505.mat	9
HG03452.mat	10
NA20355.pat	10
HG02554.mat	10
HG02622.mat	10
HG01361.pat	11
HG01352.mat	11
HG01573.pat	11
HG02080.mat	11
HG00621.mat	11
HG03009.mat	11
NA19036.pat	12
HG02257.pat	12
NA19239.pat	12
HG02554.pat	12
HG03065.mat	12
HG03456.pat	12
HG00358.pat	13
HG01505.pat	13
HG00096.pat	13
HG01114.pat	13
HG03732.mat	13
HG03927.pat	13
HG00731.mat	13
HG01099.pat	13
HG01352.pat	13
NA12329.pat	13
HG03683.pat	13
NA18534.pat	13
HG00171.mat	13
HG00358.mat	13
HG00864.pat	13
NA20509.pat	13
NA12329.mat	13
CHM13.pat	13
HG03807.mat	13
