Haplotype	Cluster
HG03009.mat	1
NA19836.pat	1
HG002.mat	1
HG00731.mat	1
HG01099.mat	1
HG00732.mat	1
HG01457.pat	1
HG03927.pat	1
HG02666.pat	1
HG02071.mat	1
HG00358.pat	1
HG02106.mat	1
HG00864.mat	1
HG00512.mat	1
HG02492.pat	1
HG00731.pat	1
HG01071.mat	1
HG03065.pat	1
HG002.pat	1
HG02492.mat	1
HG02630.pat	1
HG01890.pat	1
HG03371.pat	1
HG03540.mat	2
HG02769.pat	2
NA19983.pat	2
HG00096.mat	2
HG01109.pat	2
HG03453.pat	2
HG03456.mat	2
HG02282.pat	3
HG03371.mat	3
HG02554.mat	3
NA19238.pat	3
HG00513.mat	3
HG01596.pat	3
HG03009.pat	3
NA18534.pat	3
HG02615.pat	3
HG03807.mat	3
NA19650.pat	3
HG00358.mat	3
HG03807.pat	3
NA18906.mat	3
HG00864.pat	3
HG02282.mat	3
HG03927.mat	3
HG01890.mat	3
NA19239.pat	3
HG01457.mat	3
NA18939.mat	3
NA18939.pat	3
CHM1.pat	3
CHM13.pat	3
HG02953.mat	3
HG02587.mat	3
NA19347.pat	3
HG02011.mat	3
HG03248.pat	3
HG02011.pat	3
HG02647.pat	3
NA19317.mat	3
NA19317.pat	3
NA19347.mat	3
HG02666.mat	3
HG02559.mat	3
NA19238.mat	3
HG02647.mat	3
NA19705.mat	3
