Haplotype	Cluster
HG02106.pat	1
HG01071.pat	1
NA20129.mat	1
HG01573.pat	1
HG02293.mat	1
HG01175.mat	1
HG02293.pat	1
HG00512.pat	1
HG02018.mat	1
HG00438.mat	1
HG00621.pat	1
NA20509.pat	1
HG02492.pat	1
HG00741.pat	1
HG01114.pat	1
HG01175.pat	1
HG00171.mat	1
NA19650.mat	1
HG03732.mat	1
HG04228.mat	1
HG01573.mat	1
NA20847.pat	1
HG002.pat	1
HG00268.pat	1
HG02145.mat	1
NA18939.mat	1
NA12329.pat	1
HG03683.mat	1
HG00864.mat	1
NA19650.pat	1
HG04217.pat	1
HG00731.pat	1
NA20355.mat	1
HG02059.pat	1
HG02282.mat	1
HG03248.pat	1
HG03520.mat	1
NA19705.pat	1
HG02554.mat	1
HG03065.mat	1
HG02587.mat	1
NA19238.mat	1
HG01890.pat	1
HG02809.mat	1
NA19238.pat	1
HG02953.pat	1
NA19317.mat	1
HG02717.pat	1
NA19331.mat	1
HG03452.mat	1
NA19239.pat	1
HG02300.pat	1
HG01505.mat	1
NA12329.mat	1
HG00171.pat	1
HG01099.mat	1
HG00358.pat	1
HG01505.pat	1
HG04228.pat	1
CHM1.pat	1
HG00732.mat	1
HG01457.pat	1
HG01978.mat	1
NA19347.mat	1
HG03516.pat	1
NA19239.mat	1
HG02559.pat	1
NA19836.pat	1
NA21487.pat	1
HG03065.pat	1
HG03248.mat	1
HG00731.mat	1
HG01352.pat	1
HG02492.mat	1
HG01457.mat	1
NA19384.pat	1
HG00358.mat	1
HG002.mat	1
CHM13.pat	1
HG01099.pat	1
HG03520.pat	1
NA19317.pat	1
HG01890.mat	1
HG02587.pat	1
HG04036.mat	1
HG03807.mat	1
HG03683.pat	1
HG04217.mat	1
NA18534.mat	1
NA18534.pat	1
HG00513.mat	1
HG00864.pat	1
NA18989.pat	1
HG01352.mat	1
HG02071.mat	1
NA20509.mat	1
HG03927.pat	1
HG00438.pat	1
HG03927.mat	1
HG04036.pat	1
HG02004.mat	1
HG02071.pat	1
NA19331.pat	1
NA19347.pat	1
NA19836.mat	1
NA21487.mat	1
HG00268.mat	1
HG00512.mat	1
HG03009.mat	1
HG03371.mat	1
HG02018.pat	1
NA18989.mat	1
HG02059.mat	1
HG02004.pat	1
HG02257.mat	1
HG02080.mat	1
HG02106.mat	1
HG02300.mat	1
HG03371.pat	1
HG02011.pat	1
HG03579.pat	1
NA19705.mat	1
NA20847.mat	1
NA19129.pat	1
NA19384.mat	1
HG01596.mat	1
HG01596.pat	1
NA18939.pat	1
HG03710.mat	1
HG005.mat	1
HG00513.pat	1
HG01114.mat	1
HG02886.mat	1
HG02769.pat	1
HG02769.mat	1
HG03456.mat	1
HG02666.pat	1
NA19983.mat	1
NA20355.pat	1
HG02953.mat	1
HG02615.pat	1
HG02666.mat	1
HG03732.pat	2
HG02282.pat	2
HG02622.mat	2
NA19036.pat	3
HG02554.pat	3
NA19129.mat	3
HG02486.pat	3
HG02011.mat	3
HG03456.pat	3
