Haplotype	Cluster
HG02809.pat	1
NA21487.mat	1
HG01352.mat	1
HG01505.mat	1
HG00096.mat	1
HG01358.mat	1
HG00741.pat	1
HG03807.pat	1
HG00358.pat	1
HG01573.mat	1
HG01071.mat	1
HG002.pat	1
HG03710.mat	1
HG005.pat	1
HG02004.mat	1
HG04217.pat	1
HG03732.pat	1
HG00171.mat	1
HG01928.mat	1
HG00512.pat	1
HG04228.pat	1
HG04217.mat	1
NA20847.mat	1
HG01596.pat	1
HG00513.mat	1
NA18534.mat	1
HG02953.pat	1
HG01890.pat	1
NA19983.mat	1
NA19650.pat	1
NA20509.mat	1
HG02587.pat	1
HG02666.mat	1
NA19317.mat	1
NA19705.pat	1
HG02300.mat	1
NA19238.mat	1
HG02630.pat	1
HG03456.mat	1
HG02622.pat	1
NA19836.pat	1
HG01978.pat	2
NA18989.pat	2
HG00735.pat	2
HG00741.mat	2
HG02492.mat	2
CHM1.pat	2
HG01099.mat	2
HG00512.mat	3
HG01573.pat	3
HG00731.mat	3
HG00731.pat	3
HG01106.mat	3
NA19238.pat	3
HG02587.mat	3
NA19239.pat	3
HG01106.pat	3
HG02300.pat	3
HG01505.pat	3
HG03732.mat	3
HG03248.pat	3
NA19347.pat	3
NA19036.mat	3
NA19347.mat	3
HG02809.mat	3
NA19983.pat	3
NA19036.pat	3
NA19384.pat	3
HG02647.mat	3
HG02554.mat	3
HG01109.pat	3
HG02622.mat	3
HG03540.mat	3
NA19129.mat	3
NA18939.pat	3
HG02769.pat	3
HG02769.mat	3
HG02630.mat	3
HG03520.mat	3
HG03683.pat	3
HG03807.mat	3
HG01890.mat	3
CHM13.pat	3
HG01114.pat	3
HG00268.mat	3
NA12329.pat	3
HG00358.mat	3
HG03710.pat	3
NA18534.pat	3
NA18939.mat	3
HG03927.mat	3
HG00732.mat	3
HG00673.mat	3
HG03009.mat	3
HG01258.mat	3
HG01358.pat	3
HG00513.pat	3
NA18989.mat	3
HG002.mat	4
HG00268.pat	4
HG02071.mat	4
HG02492.pat	4
HG03927.pat	4
HG04228.mat	4
HG01243.pat	4
NA19317.pat	4
HG03065.pat	4
HG03452.pat	4
HG03452.mat	4
NA19705.mat	4
NA20355.mat	4
HG02717.pat	4
NA19239.mat	4
HG02011.mat	5
HG02559.pat	5
HG03456.pat	5
HG02554.pat	5
HG03371.mat	5
HG03371.pat	5
NA20355.pat	5
HG02282.mat	5
HG03065.mat	5
HG03098.mat	5
HG01361.mat	5
HG01457.pat	5
HG00732.pat	5
HG01352.pat	5
NA12329.mat	5
NA19650.mat	5
HG00096.pat	5
NA20509.pat	5
HG02293.mat	5
HG02293.pat	5
HG03009.pat	5
HG04036.pat	5
HG02059.pat	5
HG01596.mat	5
HG03683.mat	5
HG01952.mat	5
NA19129.pat	5
HG02953.mat	5
NA18906.mat	5
HG02666.pat	5
HG03516.pat	5
NA21487.pat	5
HG02145.mat	5
HG02282.pat	5
HG02615.pat	5
HG03453.pat	5
